"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size"
"100235","1973","41","Gen X","Graduate","Single","Alone","7500","1","0","2013-12-26 00:00:00","true","2"
"100238","1971","43","Gen X","Graduate","Single","Alone","22804","1","0","2013-07-31 00:00:00","true","2"
"100246","1975","39","Gen X","Master","Single","Alone","31160","1","0","2013-09-16 00:00:00","true","2"
"100247","1985","29","Millennial","Graduate","Single","Alone","29938","1","0","2013-10-27 00:00:00","true","2"
"100251","1974","40","Gen X","PhD","Single","Alone","30899","1","0","2012-10-13 00:00:00","true","2"
"100253","1964","50","","Graduate","Single","Alone","45989","0","1","2012-10-22 00:00:00","true","2"
"100254","1964","50","","Graduate","Single","Alone","18701","1","1","2013-04-06 00:00:00","true","3"
"100255","1957","57","Baby Boomer","PhD","Single","Alone","40737","2","1","2013-08-12 00:00:00","true","4"
"100266","1953","61","Baby Boomer","Graduate","Single","Alone","69267","0","0","2012-09-22 00:00:00","false","1"
"100267","1983","31","Millennial","Master","Single","Alone","31788","1","0","2014-03-20 00:00:00","true","2"
"100272","1956","58","Baby Boomer","Graduate","Single","Alone","60714","0","0","2013-01-17 00:00:00","false","1"
"100274","1986","28","Millennial","PhD","Single","Alone","69867","0","0","2013-02-04 00:00:00","false","1"
"100292","1982","32","Millennial","Graduate","Single","Alone","68627","0","0","2013-12-01 00:00:00","false","1"
"100297","1988","26","Millennial","Graduate","Single","Alone","39747","1","0","2014-04-13 00:00:00","true","2"
"100301","1947","67","Baby Boomer","Graduate","Single","Alone","77457","0","0","2014-05-03 00:00:00","false","1"
"100307","1976","38","Gen X","Master","Single","Alone","70893","0","0","2013-06-02 00:00:00","false","1"
"100311","1985","29","Millennial","Graduate","Single","Alone","66503","1","0","2012-08-14 00:00:00","true","2"
"100313","1970","44","Gen X","Graduate","Single","Alone","51381","1","2","2013-08-23 00:00:00","true","4"
"100318","1953","61","Baby Boomer","Graduate","Single","Alone","40464","0","1","2013-11-01 00:00:00","true","2"
"100323","1986","28","Millennial","PhD","Single","Alone","29999","1","0","2013-02-13 00:00:00","true","2"
"100324","1983","31","Millennial","Graduate","Single","Alone","24072","1","0","2013-04-16 00:00:00","true","2"
"100325","1989","25","Millennial","PhD","Single","Alone","33996","0","0","2013-11-09 00:00:00","false","1"
"100333","1988","26","Millennial","Graduate","Single","Alone","68655","0","0","2012-10-08 00:00:00","false","1"
"100345","1966","48","Gen X","PhD","Single","Alone","69759","0","0","2013-10-28 00:00:00","false","1"
"100347","1976","38","Gen X","PhD","Single","Alone","60000","0","1","2012-12-22 00:00:00","true","2"
"100348","1978","36","Gen X","Graduate","Single","Alone","38643","1","1","2013-11-29 00:00:00","true","3"
"100357","1969","45","Gen X","Graduate","Single","Alone","54803","0","1","2012-08-21 00:00:00","true","2"
"100361","1975","39","Gen X","PhD","Single","Alone","52614","0","1","2012-01-12 00:00:00","true","2"
"100364","1970","44","Gen X","Master","Single","Alone","29548","1","0","2013-08-29 00:00:00","true","2"
"100365","1966","48","Gen X","Graduate","Single","Alone","63810","0","1","2012-11-11 00:00:00","true","2"
"100366","1972","42","Gen X","PhD","Single","Alone","38578","1","1","2013-06-22 00:00:00","true","3"
"100367","1975","39","Gen X","Master","Single","Alone","46098","1","1","2012-08-18 00:00:00","true","3"
"100368","1970","44","Gen X","Graduate","Single","Alone","22585","0","0","2013-03-18 00:00:00","false","1"
"100369","1989","25","Millennial","Graduate","Single","Alone","30279","1","0","2012-12-30 00:00:00","true","2"
"100371","1969","45","Gen X","Graduate","Single","Alone","30822","1","0","2013-06-14 00:00:00","true","2"
"100375","1981","33","Millennial","Master","Single","Alone","36143","1","0","2014-03-30 00:00:00","true","2"
"100376","1971","43","Gen X","Graduate","Single","Alone","10245","1","0","2013-05-15 00:00:00","true","2"
"100383","1993","21","Millennial","Graduate","Single","Alone","74293","0","0","2014-04-05 00:00:00","false","1"
"100389","1987","27","Millennial","Graduate","Single","Alone","23442","1","0","2012-12-24 00:00:00","true","2"
"100393","1974","40","Gen X","Graduate","Single","Alone","42373","1","1","2013-08-15 00:00:00","true","3"
"100395","1955","59","Baby Boomer","PhD","Single","Alone","55521","1","2","2013-10-22 00:00:00","true","4"
"100397","1972","42","Gen X","PhD","Single","Alone","27213","1","0","2012-08-30 00:00:00","true","2"
"100400","1982","32","Millennial","Undergraduate","Single","Alone","23616","1","0","2012-11-17 00:00:00","true","2"
"100403","1987","27","Millennial","Graduate","Single","Alone","46923","1","0","2012-08-22 00:00:00","true","2"
"100408","1981","33","Millennial","Graduate","Single","Alone","91065","0","0","2013-02-22 00:00:00","false","1"
"100419","1961","53","Baby Boomer","PhD","Single","Alone","84865","0","0","2013-09-05 00:00:00","false","1"
"100423","1970","44","Gen X","Graduate","Single","Alone","30015","1","0","2014-02-02 00:00:00","true","2"
"100435","1964","50","","Graduate","Single","Alone","81246","0","0","2013-12-29 00:00:00","false","1"
"100438","1955","59","Baby Boomer","Graduate","Single","Alone","57959","0","1","2013-02-05 00:00:00","true","2"
"100440","1971","43","Gen X","Master","Single","Alone","36230","1","0","2013-10-17 00:00:00","true","2"
"100444","1966","48","Gen X","Undergraduate","Single","Alone","89572","0","0","2012-09-15 00:00:00","false","1"
"100452","1969","45","Gen X","PhD","Single","Alone","66582","0","0","2014-03-03 00:00:00","false","1"
"100461","1988","26","Millennial","Graduate","Single","Alone","20518","1","0","2014-05-18 00:00:00","true","2"
"100463","1972","42","Gen X","PhD","Single","Alone","41644","1","1","2014-09-05 00:00:00","true","3"
"100469","1974","40","Gen X","Graduate","Single","Alone","32233","1","0","2012-08-19 00:00:00","true","2"
"100479","1964","50","","Master","Single","Alone","58308","0","1","2013-12-01 00:00:00","true","2"
"100492","1989","25","Millennial","Graduate","Single","Alone","81217","0","0","2013-07-19 00:00:00","false","1"
"100496","1979","35","Gen X","Graduate","Single","Alone","60152","0","1","2013-03-28 00:00:00","true","2"
"100500","1975","39","Gen X","Master","Single","Alone","81169","0","0","2013-04-14 00:00:00","false","1"
"100502","1990","24","Millennial","Graduate","Single","Alone","26095","1","0","2013-06-30 00:00:00","true","2"
"100506","1987","27","Millennial","Master","Single","Alone","73454","0","0","2014-01-03 00:00:00","false","1"
"100513","1964","50","","Graduate","Single","Alone","61839","0","0","2012-12-08 00:00:00","false","1"
"100516","1969","45","Gen X","Graduate","Single","Alone","72679","0","1","2013-09-18 00:00:00","true","2"
"100519","1982","32","Millennial","Graduate","Single","Alone","28567","1","0","2013-06-17 00:00:00","true","2"
"100524","1981","33","Millennial","Master","Single","Alone","22944","1","0","2013-12-23 00:00:00","true","2"
"100527","1984","30","Millennial","PhD","Single","Alone","42710","1","0","2012-11-28 00:00:00","true","2"
"100535","1963","51","Baby Boomer","Undergraduate","Single","Alone","39548","1","1","2014-03-31 00:00:00","true","3"
"100536","1989","25","Millennial","Graduate","Single","Alone","21474","1","0","2014-08-04 00:00:00","true","2"
"100537","1971","43","Gen X","PhD","Single","Alone","60504","0","1","2014-07-02 00:00:00","true","2"
"100541","1978","36","Gen X","PhD","Single","Alone","54880","1","0","2013-01-03 00:00:00","true","2"
"100546","1980","34","","Graduate","Single","Alone","81741","0","0","2013-06-16 00:00:00","false","1"
"100551","1962","52","Baby Boomer","Graduate","Single","Alone","66565","0","1","2012-05-12 00:00:00","true","2"
"100553","1979","35","Gen X","Graduate","Single","Alone","47691","0","1","2013-05-07 00:00:00","true","2"
"100557","1978","36","Gen X","Undergraduate","Single","Alone","38593","1","0","2013-09-13 00:00:00","true","2"
"100574","1984","30","Millennial","PhD","Single","Alone","39684","1","0","2012-12-10 00:00:00","true","2"
"100576","1965","49","Gen X","Master","Single","Alone","69882","0","0","2013-10-11 00:00:00","false","1"
"100584","1961","53","Baby Boomer","Graduate","Single","Alone","30081","0","1","2013-02-21 00:00:00","true","2"
"100586","1955","59","Baby Boomer","Graduate","Single","Alone","72906","0","0","2013-09-17 00:00:00","false","1"
"100589","1986","28","Millennial","Master","Single","Alone","21888","1","0","2012-12-29 00:00:00","true","2"
"100593","1969","45","Gen X","Master","Single","Alone","26877","0","0","2013-08-19 00:00:00","false","1"
"100596","1969","45","Gen X","PhD","Single","Alone","48240","0","0","2012-09-11 00:00:00","false","1"
"100598","1965","49","Gen X","Master","Single","Alone","35791","2","1","2013-06-05 00:00:00","true","4"
"100603","1971","43","Gen X","Graduate","Single","Alone","31632","0","0","2013-07-14 00:00:00","false","1"
"100605","1978","36","Gen X","Undergraduate","Single","Alone","36975","1","0","2013-12-28 00:00:00","true","2"
"100608","1975","39","Gen X","Graduate","Single","Alone","84196","0","1","2013-03-06 00:00:00","true","2"
"100611","1977","37","Gen X","Graduate","Single","Alone","28769","1","0","2012-12-18 00:00:00","true","2"
"100614","1960","54","Baby Boomer","Undergraduate","Single","Alone","32218","0","0","2014-02-15 00:00:00","false","1"
"100615","1973","41","Gen X","Graduate","Single","Alone","83917","0","0","2013-04-18 00:00:00","false","1"
"100617","1952","62","Baby Boomer","Graduate","Single","Alone","84574","0","0","2013-04-06 00:00:00","false","1"
"100623","1964","50","","Graduate","Single","Alone","45906","0","1","2013-07-05 00:00:00","true","2"
"100630","1960","54","Baby Boomer","Master","Single","Alone","98777","0","0","2014-02-17 00:00:00","false","1"
"100638","1966","48","Gen X","PhD","Single","Alone","46734","1","2","2013-10-21 00:00:00","true","4"
"100645","1987","27","Millennial","High School","Single","Alone","21063","1","0","2013-09-25 00:00:00","true","2"
"100649","1962","52","Baby Boomer","Master","Single","Alone","59247","0","2","2013-08-11 00:00:00","true","3"
"100654","1979","35","Gen X","Graduate","Single","Alone","70337","0","0","2014-02-01 00:00:00","false","1"
"100656","1980","34","","PhD","Single","Alone","65295","0","0","2013-12-23 00:00:00","false","1"
"100663","1972","42","Gen X","PhD","Single","Alone","86857","0","0","2012-12-09 00:00:00","false","1"
"100668","1970","44","Gen X","Graduate","Single","Alone","61209","0","0","2013-08-25 00:00:00","false","1"
"100673","1995","19","Millennial","Graduate","Single","Alone","34824","0","0","2014-03-26 00:00:00","false","1"
"100674","1949","65","Baby Boomer","PhD","Single","Alone","26518","1","1","2013-08-04 00:00:00","true","3"
"100675","1961","53","Baby Boomer","Graduate","Single","Alone","45938","0","0","2013-03-11 00:00:00","false","1"
"100680","1988","26","Millennial","Master","Single","Alone","90247","0","0","2014-04-29 00:00:00","false","1"
"100686","1965","49","Gen X","Master","Single","Alone","55250","0","1","2012-10-21 00:00:00","true","2"
"100687","1975","39","Gen X","Graduate","Single","Alone","33249","1","0","2013-02-20 00:00:00","true","2"
"100694","1958","56","Baby Boomer","Graduate","Single","Alone","45160","1","1","2014-03-29 00:00:00","true","3"
"100713","1953","61","Baby Boomer","PhD","Single","Alone","64108","0","1","2013-03-23 00:00:00","true","2"
"100715","1950","64","Baby Boomer","PhD","Single","Alone","48767","1","2","2014-01-01 00:00:00","true","4"
"100720","1995","19","Millennial","Graduate","Single","Alone","71163","0","0","2014-09-03 00:00:00","false","1"
"100721","1970","44","Gen X","Graduate","Single","Alone","33697","1","0","2013-09-15 00:00:00","true","2"
"100733","1967","47","Gen X","Graduate","Single","Alone","79146","1","1","2014-04-24 00:00:00","true","3"
"100735","1978","36","Gen X","PhD","Single","Alone","31626","1","0","2013-10-05 00:00:00","true","2"
"100736","1952","62","Baby Boomer","Graduate","Single","Alone","75127","0","0","2014-05-22 00:00:00","false","1"
"100744","1965","49","Gen X","Graduate","Single","Alone","42720","1","1","2013-04-24 00:00:00","true","3"
"100748","1965","49","Gen X","PhD","Single","Alone","40760","0","1","2013-08-30 00:00:00","true","2"
"100750","1955","59","Baby Boomer","Master","Single","Alone","51124","1","1","2013-12-18 00:00:00","true","3"
"100751","1971","43","Gen X","Graduate","Single","Alone","72258","0","1","2013-12-09 00:00:00","true","2"
"100752","1974","40","Gen X","PhD","Single","Alone","71466","0","0","2014-05-04 00:00:00","false","1"
"100754","1970","44","Gen X","Graduate","Single","Alone","20587","1","0","2014-11-05 00:00:00","true","2"
"100764","1950","64","Baby Boomer","Graduate","Single","Alone","16813","0","0","2013-07-19 00:00:00","false","1"
"100766","1961","53","Baby Boomer","Graduate","Single","Alone","46524","0","1","2013-05-04 00:00:00","true","2"
"100767","1962","52","Baby Boomer","Master","Single","Alone","45183","0","0","2013-01-20 00:00:00","false","1"
"100775","1944","70","Silent Generation","PhD","Single","Alone","82716","0","0","2013-05-11 00:00:00","false","1"
"100781","1972","42","Gen X","Graduate","Single","Alone","72504","0","1","2013-06-04 00:00:00","true","2"
"100783","1972","42","Gen X","Graduate","Single","Alone","21359","1","0","2013-04-20 00:00:00","true","2"
"100784","1975","39","Gen X","Graduate","Single","Alone","73170","0","0","2014-05-31 00:00:00","false","1"
"100789","1954","60","Baby Boomer","Graduate","Single","Alone","22507","0","0","2012-11-24 00:00:00","false","1"
"100792","1980","34","","PhD","Single","Alone","76412","0","0","2013-05-05 00:00:00","false","1"
"100794","1961","53","Baby Boomer","Graduate","Single","Alone","57091","0","0","2014-06-15 00:00:00","false","1"
"100801","1992","22","Millennial","Graduate","Single","Alone","48789","0","0","2012-10-09 00:00:00","false","1"
"100806","1972","42","Gen X","Master","Single","Alone","49494","1","0","2013-04-25 00:00:00","true","2"
"100808","1980","34","","Undergraduate","Single","Alone","45889","0","1","2013-02-07 00:00:00","true","2"
"100809","1977","37","Gen X","Graduate","Single","Alone","56628","0","1","2014-03-21 00:00:00","true","2"
"100812","1988","26","Millennial","Graduate","Single","Alone","34176","1","0","2014-12-05 00:00:00","true","2"
"100816","1991","23","Millennial","Undergraduate","Single","Alone","61618","0","0","2012-09-29 00:00:00","false","1"
"100817","1956","58","Baby Boomer","Master","Single","Alone","55284","0","1","2012-12-24 00:00:00","true","2"
"100818","1963","51","Baby Boomer","Graduate","Single","Alone","49980","0","1","2013-10-23 00:00:00","true","2"
"100820","1974","40","Gen X","Graduate","Single","Alone","49166","0","1","2013-06-13 00:00:00","true","2"
"100824","1979","35","Gen X","Graduate","Single","Alone","60474","0","1","2013-01-04 00:00:00","true","2"
"100833","1975","39","Gen X","Undergraduate","Single","Alone","49514","1","0","2013-12-17 00:00:00","true","2"
"100835","1966","48","Gen X","Master","Single","Alone","43456","0","1","2013-03-26 00:00:00","true","2"
"100836","1986","28","Millennial","Master","Single","Alone","19485","2","0","2013-09-24 00:00:00","true","3"
"100840","1959","55","Baby Boomer","Graduate","Single","Alone","62450","0","1","2014-06-01 00:00:00","true","2"
"100842","1981","33","Millennial","Undergraduate","Single","Alone","42395","1","1","2014-04-04 00:00:00","true","3"
"100847","1956","58","Baby Boomer","Master","Single","Alone","86424","0","0","2014-05-04 00:00:00","false","1"
"100849","1972","42","Gen X","Graduate","Single","Alone","24762","1","0","2014-10-02 00:00:00","true","2"
"100854","1953","61","Baby Boomer","PhD","Single","Alone","46231","2","1","2012-11-26 00:00:00","true","4"
"100857","1978","36","Gen X","Master","Single","Alone","68092","0","0","2013-12-16 00:00:00","false","1"
"100861","1991","23","Millennial","High School","Single","Alone","26868","1","0","2014-04-30 00:00:00","true","2"
"100862","1972","42","Gen X","PhD","Single","Alone","55260","0","1","2012-12-12 00:00:00","true","2"
"100872","1977","37","Gen X","Graduate","Single","Alone","85072","0","0","2014-09-04 00:00:00","false","1"
"100873","1961","53","Baby Boomer","Graduate","Single","Alone","86429","0","0","2013-11-21 00:00:00","false","1"
"100877","1966","48","Gen X","PhD","Single","Alone","78420","0","0","2013-06-29 00:00:00","false","1"
"100881","1994","20","Millennial","Graduate","Single","Alone","95529","0","0","2012-03-12 00:00:00","false","1"
"100884","1954","60","Baby Boomer","Undergraduate","Single","Alone","42607","0","1","2013-11-17 00:00:00","true","2"
"100885","1954","60","Baby Boomer","PhD","Single","Alone","74637","0","0","2013-05-18 00:00:00","false","1"
"100887","1993","21","Millennial","Graduate","Single","Alone","72354","0","0","2013-04-17 00:00:00","false","1"
"100888","1969","45","Gen X","Master","Single","Alone","39858","1","0","2013-01-24 00:00:00","true","2"
"100893","1982","32","Millennial","Undergraduate","Single","Alone","74116","0","0","2013-12-30 00:00:00","false","1"
"100896","1989","25","Millennial","Graduate","Single","Alone","46107","1","0","2014-10-02 00:00:00","true","2"
"100897","1951","63","Baby Boomer","PhD","Single","Alone","64950","0","1","2012-12-08 00:00:00","true","2"
"100902","1971","43","Gen X","Graduate","Single","Alone","55239","0","1","2013-07-14 00:00:00","true","2"
"100904","1952","62","Baby Boomer","Undergraduate","Single","Alone","64831","1","1","2013-10-06 00:00:00","true","3"
"100908","1986","28","Millennial","High School","Single","Alone","14906","0","0","2012-12-22 00:00:00","false","1"
"100917","1971","43","Gen X","PhD","Single","Alone","42767","2","0","2013-11-05 00:00:00","true","3"
"100921","1952","62","Baby Boomer","Graduate","Single","Alone","53700","0","1","2012-08-17 00:00:00","true","2"
"100925","1962","52","Baby Boomer","PhD","Single","Alone","52597","0","1","2014-07-05 00:00:00","true","2"
"100950","1976","38","Gen X","Undergraduate","Single","Alone","79689","0","0","2013-12-05 00:00:00","false","1"
"100955","1989","25","Millennial","Graduate","Single","Alone","64449","1","0","2014-02-18 00:00:00","true","2"
"100961","1987","27","Millennial","PhD","Single","Alone","95169","0","0","2013-09-10 00:00:00","false","1"
"100965","1954","60","Baby Boomer","Graduate","Single","Alone","36130","0","1","2013-02-02 00:00:00","true","2"
"100967","1963","51","Baby Boomer","PhD","Single","Alone","36736","1","1","2013-10-05 00:00:00","true","3"
"100970","1978","36","Gen X","Graduate","Single","Alone","30168","1","0","2013-07-03 00:00:00","true","2"
"100977","1976","38","Gen X","Graduate","Single","Alone","20180","0","0","2013-02-20 00:00:00","false","1"
"100984","1978","36","Gen X","Graduate","Single","Alone","28647","1","0","2013-08-21 00:00:00","true","2"
"100985","1987","27","Millennial","High School","Single","Alone","15038","1","0","2013-01-29 00:00:00","true","2"
"100989","1971","43","Gen X","Graduate","Single","Alone","91700","0","0","2013-01-17 00:00:00","false","1"
"100992","1980","34","","Graduate","Single","Alone","28071","0","0","2012-08-29 00:00:00","false","1"
"100994","1972","42","Gen X","Master","Single","Alone","46423","1","1","2013-09-18 00:00:00","true","3"
"100999","1991","23","Millennial","Graduate","Single","Alone","8028","0","0","2012-09-18 00:00:00","false","1"
"101002","1965","49","Gen X","Master","Single","Alone","33168","0","1","2012-10-13 00:00:00","true","2"
"101011","1985","29","Millennial","Graduate","Single","Alone","70596","0","0","2012-05-10 00:00:00","false","1"
"101014","1952","62","Baby Boomer","Graduate","Single","Alone","72228","0","0","2012-11-27 00:00:00","false","1"
"101018","1987","27","Millennial","PhD","Single","Alone","42000","0","0","2013-10-01 00:00:00","false","1"
"101022","1992","22","Millennial","Graduate","Single","Alone","83528","0","0","2014-01-05 00:00:00","false","1"
"101033","1968","46","Gen X","Master","Single","Alone","50014","1","0","2014-01-22 00:00:00","true","2"
"101035","1965","49","Gen X","Graduate","Single","Alone","66294","0","0","2014-03-17 00:00:00","false","1"
"101039","1970","44","Gen X","Master","Single","Alone","75345","0","0","2013-02-02 00:00:00","false","1"
"101041","1970","44","Gen X","Graduate","Single","Alone","24163","1","1","2013-12-10 00:00:00","true","3"
"101044","1958","56","Baby Boomer","PhD","Single","Alone","71691","0","0","2014-03-17 00:00:00","false","1"
"101046","1974","40","Gen X","PhD","Single","Alone","39190","1","0","2014-04-26 00:00:00","true","2"
"101048","1979","35","Gen X","Graduate","Single","Alone","61825","0","1","2013-07-08 00:00:00","true","2"
"101050","1986","28","Millennial","Undergraduate","Single","Alone","80910","0","0","2012-10-31 00:00:00","false","1"
"101058","1960","54","Baby Boomer","PhD","Single","Alone","76045","0","0","2013-11-15 00:00:00","false","1"
"101063","1983","31","Millennial","Undergraduate","Single","Alone","81698","0","0","2013-01-03 00:00:00","false","1"
"101064","1973","41","Gen X","PhD","Single","Alone","54466","1","1","2014-09-02 00:00:00","true","3"
"101065","1984","30","Millennial","PhD","Single","Alone","16269","1","0","2013-08-30 00:00:00","true","2"
"101071","1968","46","Gen X","Graduate","Single","Alone","70566","0","1","2013-06-10 00:00:00","true","2"
"101074","1979","35","Gen X","Graduate","Single","Alone","48526","1","0","2013-12-24 00:00:00","true","2"
"101077","1966","48","Gen X","Graduate","Single","Alone","86358","1","1","2012-08-08 00:00:00","true","3"
"101079","1985","29","Millennial","High School","Single","Alone","16581","0","0","2013-12-01 00:00:00","false","1"
"101082","1967","47","Gen X","Graduate","Single","Alone","25930","1","1","2013-10-10 00:00:00","true","3"
"101085","1985","29","Millennial","Graduate","Single","Alone","72903","0","0","2013-10-29 00:00:00","false","1"
"101092","1962","52","Baby Boomer","PhD","Single","Alone","33419","0","1","2013-08-17 00:00:00","true","2"
"101098","1986","28","Millennial","Graduate","Single","Alone","26576","1","0","2012-10-13 00:00:00","true","2"
"101104","1963","51","Baby Boomer","PhD","Single","Alone","23091","1","1","2014-05-28 00:00:00","true","3"
"101117","1969","45","Gen X","Graduate","Single","Alone","81657","0","0","2014-01-22 00:00:00","false","1"
"101126","1991","23","Millennial","Master","Single","Alone","90638","0","0","2014-02-13 00:00:00","false","1"
"101130","1958","56","Baby Boomer","High School","Single","Alone","15056","1","1","2013-03-05 00:00:00","true","3"
"101131","1971","43","Gen X","Graduate","Single","Alone","26954","1","0","2014-08-05 00:00:00","true","2"
"101132","1985","29","Millennial","Graduate","Single","Alone","22327","1","0","2013-02-08 00:00:00","true","2"
"101134","1952","62","Baby Boomer","PhD","Single","Alone","62000","0","1","2013-08-25 00:00:00","true","2"
"101140","1952","62","Baby Boomer","Graduate","Single","Alone","62307","0","1","2014-02-17 00:00:00","true","2"
"101158","1975","39","Gen X","Graduate","Single","Alone","42160","1","1","2013-06-28 00:00:00","true","3"
"101159","1965","49","Gen X","Graduate","Single","Alone","61559","0","1","2013-07-17 00:00:00","true","2"
"101161","1963","51","Baby Boomer","Graduate","Single","Alone","34377","0","1","2013-01-19 00:00:00","true","2"
"101162","1986","28","Millennial","High School","Single","Alone","8940","1","0","2012-08-22 00:00:00","true","2"
"101168","1955","59","Baby Boomer","PhD","Single","Alone","61284","0","0","2013-12-10 00:00:00","false","1"
"101180","1952","62","Baby Boomer","Graduate","Single","Alone","44213","1","1","2013-11-29 00:00:00","true","3"
"101181","1984","30","Millennial","High School","Single","Alone","25707","1","0","2014-01-18 00:00:00","true","2"
"101183","1962","52","Baby Boomer","Graduate","Single","Alone","76624","0","1","2014-05-24 00:00:00","true","2"
"101187","1992","22","Millennial","High School","Single","Alone","7500","1","0","2012-03-12 00:00:00","true","2"
"101203","1952","62","Baby Boomer","Graduate","Single","Alone","47139","1","1","2014-06-03 00:00:00","true","3"
"101207","1958","56","Baby Boomer","Undergraduate","Single","Alone","85485","0","0","2014-06-21 00:00:00","false","1"
