"customer_key","year_birth","education","marital_status","income","household_size","year"
"100363","1975","Graduate","Married","48178","4","2012"
"101332","1953","PhD","Divorced","36957","3","2012"
"101785","1982","Graduate","Married","63211","2","2012"
"100365","1966","Graduate","Single","63810","2","2012"
"101331","1950","Graduate","Married","57045","3","2012"
"100000","1957","Graduate","Single","58138","1","2012"
"101329","1967","PhD","Married","36947","4","2012"
"101328","1970","Master","Married","44511","3","2012"
"101327","1957","Graduate","Single","36864","2","2012"
"100367","1975","Master","Single","46098","3","2012"
"101325","1961","Graduate","Married","60544","4","2012"
"101927","1961","Graduate","Single","82332","1","2012"
"100369","1989","Graduate","Single","30279","2","2012"
"102010","1969","Graduate","Single","57731","2","2012"
"100686","1965","Master","Single","55250","2","2012"
"100200","1977","PhD","Together","102160","2","2012"
"100014","1987","Graduate","Married","17323","2","2012"
"100202","1984","Master","Single","18890","1","2012"
"100690","1975","PhD","Married","76618","2","2012"
"100691","1960","Undergraduate","Divorced","87305","1","2012"
"100374","1954","Graduate","Widow","27421","1","2012"
"101638","1977","PhD","Married","28973","2","2012"
"101324","1969","PhD","Married","51039","4","2012"
"100695","1965","Master","Married","74806","3","2012"
"100055","1955","Master","Together","82384","2","2012"
"101319","1975","Undergraduate","Single","41658","3","2012"
"100107","1978","Graduate","Single","38557","2","2012"
"100699","1976","Graduate","Married","7500","3","2012"
"100378","1960","Graduate","Together","63381","3","2012"
"101315","1980","Graduate","Together","44964","4","2012"
"100379","1949","Graduate","Together","38823","3","2012"
"101783","1976","Master","Married","34529","3","2012"
"101635","1974","PhD","Divorced","25509","2","2012"
"100705","1953","PhD","Together","53593","4","2012"
"100206","1954","Graduate","Divorced","64497","2","2012"
"101617","1947","High School","Together","28389","2","2012"
"101312","1973","Graduate","Married","20895","3","2012"
"100108","1960","Master","Married","89058","2","2012"
"101310","1958","Graduate","Together","51381","4","2012"
"101616","1952","Graduate","Married","81795","2","2012"
"100712","1969","Graduate","Together","62882","3","2012"
"101781","1977","Graduate","Single","23763","2","2012"
"100387","1971","Graduate","Married","43824","4","2012"
"101303","1960","Graduate","Single","48904","2","2012"
"100388","1984","Graduate","Together","15345","3","2012"
"101296","1958","Master","Single","75154","2","2012"
"100389","1987","Graduate","Single","23442","2","2012"
"100390","1980","Undergraduate","Together","14515","3","2012"
"101294","1950","Undergraduate","Together","52203","2","2012"
"100209","1968","PhD","Married","44377","4","2012"
"101291","1968","Graduate","Together","58554","4","2012"
"100392","1965","Graduate","Together","75276","2","2012"
"100015","1946","PhD","Single","82800","1","2012"
"100110","1991","PhD","Single","68126","1","2012"
"101285","1982","Graduate","Married","69109","2","2012"
"101776","1949","PhD","Widow","54356","2","2012"
"100728","1972","PhD","Together","62220","3","2012"
"101600","1955","Graduate","Together","42586","4","2012"
"100397","1972","PhD","Single","27213","2","2012"
"101283","1987","Graduate","Together","18227","3","2012"
"101593","1976","PhD","Married","55424","3","2012"
"101276","1977","Master","Married","43263","3","2012"
"100399","1963","Graduate","Married","50437","4","2012"
"100400","1982","Undergraduate","Single","23616","2","2012"
"101274","1982","Graduate","Single","39660","2","2012"
"100401","1976","Graduate","Married","53858","3","2012"
"100738","1977","Graduate","Married","74985","2","2012"
"100739","1987","Graduate","Together","67430","2","2012"
"101774","1975","Undergraduate","Together","34984","4","2012"
"100403","1987","Graduate","Single","46923","2","2012"
"101925","1970","Graduate","Divorced","72967","2","2012"
"101588","1966","Graduate","Married","80398","2","2012"
"102003","1957","Graduate","Married","73803","3","2012"
"101582","1965","Graduate","Together","52117","3","2012"
"100746","1957","PhD","Together","6835","3","2012"
"100216","1980","Graduate","Together","69508","3","2012"
"101767","1957","Graduate","Single","64849","1","2012"
"101269","1978","Master","Married","88097","3","2012"
"101581","1956","Master","Together","58656","3","2012"
"101579","1973","High School","Together","9722","3","2012"
"101266","1969","Graduate","Married","48752","4","2012"
"101258","1977","Graduate","Single","37774","3","2012"
"101247","1956","Master","Single","64857","1","2012"
"101240","1979","Graduate","Married","71626","2","2012"
"100113","1980","PhD","Married","43974","3","2012"
"100757","1986","High School","Married","20425","3","2012"
"101236","1978","Graduate","Single","7500","3","2012"
"101762","1956","Graduate","Single","91249","1","2012"
"101227","1971","Graduate","Married","52531","2","2012"
"100761","1976","Graduate","Divorced","40780","2","2012"
"102022","1954","Graduate","Together","36807","4","2012"
"100763","1957","PhD","Married","82017","2","2012"
"101576","1976","Graduate","Married","61064","3","2012"
"101574","1957","PhD","Divorced","41437","3","2012"
"101572","1971","Undergraduate","Together","42033","4","2012"
"100221","1962","Graduate","Divorced","63887","2","2012"
"101224","1972","PhD","Married","57091","3","2012"
"100769","1965","Undergraduate","Divorced","60161","2","2012"
"101922","1984","Undergraduate","Married","14796","3","2012"
"100420","1989","Graduate","Married","42387","3","2012"
"100223","1976","Graduate","Together","51369","3","2012"
"100224","1952","Graduate","Divorced","51537","2","2012"
"101570","1990","Graduate","Married","18222","2","2012"
"100225","1972","PhD","Married","79930","2","2012"
"101759","1965","PhD","Together","34230","4","2012"
"102002","1947","Graduate","Married","27469","2","2012"
"101222","1951","High School","Married","26997","2","2012"
"100016","1980","Graduate","Married","41850","4","2012"
"100061","1975","Graduate","Together","66653","4","2012"
"101757","1968","Graduate","Single","57107","2","2012"
"100032","1970","Graduate","Together","40548","3","2012"
"101920","1975","Graduate","Married","76068","3","2012"
"101220","1957","PhD","Married","37633","4","2012"
"101569","1981","Undergraduate","Single","24336","2","2012"
"100033","1952","PhD","Divorced","46610","3","2012"
"101219","1971","Undergraduate","Divorced","49118","1","2012"
"101218","1983","Graduate","Together","78687","2","2012"
"100789","1954","Graduate","Single","22507","1","2012"
"101216","1978","Graduate","Divorced","71847","1","2012"
"100017","1946","Graduate","Together","37760","2","2012"
"102033","1970","Master","Single","44802","1","2012"
"101988","1973","PhD","YOLO","48432","2","2012"
"101212","1968","Master","Divorced","23748","2","2012"
"100237","1958","Graduate","Together","64961","3","2012"
"101987","1967","Master","Divorced","81380","1","2012"
"101919","1976","Master","Married","81929","3","2012"
"100240","1958","Graduate","Married","61074","3","2012"
"101210","1972","Graduate","Single","38808","2","2012"
"101756","1967","Graduate","Married","77870","3","2012"
"100801","1992","Graduate","Single","48789","1","2012"
"100442","1976","Graduate","Married","65991","3","2012"
"100443","1972","Graduate","Married","38988","5","2012"
"100444","1966","Undergraduate","Single","89572","1","2012"
"100019","1985","Undergraduate","Single","33812","2","2012"
"101563","1980","Master","Divorced","78789","1","2012"
"100807","1980","Graduate","Divorced","81702","1","2012"
"100447","1982","Undergraduate","Together","66664","2","2012"
"101204","1963","PhD","Married","53378","4","2012"
"101559","1955","PhD","Married","22554","4","2012"
"100811","1974","Graduate","Married","40049","3","2012"
"101196","1955","Undergraduate","Married","62972","3","2012"
"100813","1981","Graduate","Married","19419","3","2012"
"101915","1993","Graduate","Absurd","79244","1","2012"
"101195","1970","PhD","Married","55158","4","2012"
"100816","1991","Undergraduate","Single","61618","1","2012"
"100817","1956","Master","Single","55284","2","2012"
"101552","1991","Undergraduate","Together","20193","2","2012"
"101551","1970","Graduate","Married","69016","3","2012"
"101533","1963","Graduate","Widow","34213","3","2012"
"100821","1957","Undergraduate","Married","82347","2","2012"
"101187","1992","High School","Single","7500","2","2012"
"101185","1978","PhD","Together","27683","3","2012"
"100244","1988","PhD","Married","67546","2","2012"
"101169","1986","Graduate","Married","22518","3","2012"
"100454","1970","Graduate","Widow","31880","2","2012"
"100827","1966","Graduate","Together","37758","4","2012"
"101532","1961","Graduate","Single","82014","1","2012"
"101162","1986","High School","Single","8940","2","2012"
"101160","1963","PhD","Together","33629","4","2012"
"100456","1971","PhD","Together","49269","3","2012"
"100832","1989","Undergraduate","Together","38683","3","2012"
"100245","1969","Master","Together","65176","3","2012"
"100020","1982","Graduate","Married","37040","2","2012"
"100459","1981","PhD","Together","56937","3","2012"
"100070","1954","Master","Married","66991","2","2012"
"101524","1981","Graduate","Together","56386","4","2012"
"100838","1979","Graduate","Together","30545","3","2012"
"101908","1992","Undergraduate","Married","87000","2","2012"
"101157","1972","Graduate","Married","56721","4","2012"
"101144","1961","Undergraduate","Widow","59184","2","2012"
"101138","1969","Master","Widow","67369","2","2012"
"101510","1971","PhD","Widow","47111","2","2012"
"101504","1956","Master","Married","52973","3","2012"
"100465","1972","PhD","Married","62010","3","2012"
"100466","1977","Graduate","Married","41124","3","2012"
"101137","1970","Master","Divorced","78579","1","2012"
"100249","1958","Undergraduate","Together","26490","2","2012"
"101135","1962","PhD","Together","31497","3","2012"
"100850","1975","Graduate","Married","35797","3","2012"
"100250","1967","Graduate","Together","75702","4","2012"
"101123","1952","Master","Married","33444","4","2012"
"100469","1974","Graduate","Single","32233","2","2012"
"100854","1953","PhD","Single","46231","4","2012"
"100251","1974","PhD","Single","30899","2","2012"
"100471","1960","Master","Together","83151","2","2012"
"100472","1964","PhD","Divorced","78825","1","2012"
"100252","1961","PhD","Together","63342","3","2012"
"100859","1965","Master","Widow","51390","3","2012"
"101119","1990","PhD","Married","74214","2","2012"
"101115","1968","Graduate","Together","35322","5","2012"
"100862","1972","PhD","Single","55260","2","2012"
"101498","1978","Undergraduate","Married","12393","2","2012"
"101111","1994","Graduate","Together","80685","2","2012"
"100475","1952","Undergraduate","Widow","28457","1","2012"
"100476","1958","PhD","Together","78952","3","2012"
"100477","1976","Graduate","Divorced","46310","2","2012"
"100253","1964","Graduate","Single","45989","2","2012"
"100071","1973","Undergraduate","Married","51381","3","2012"
"102020","1995","Undergraduate","Single","80617","1","2012"
"100256","1979","Graduate","Divorced","15287","2","2012"
"101110","1965","Graduate","Married","59594","3","2012"
"101489","1956","Master","Married","90226","2","2012"
"102030","1978","Undergraduate","Together","51381","2","2012"
"101106","1974","Graduate","Together","56715","2","2012"
"101102","1974","Graduate","Together","83145","2","2012"
"101486","1971","Graduate","Married","76445","3","2012"
"101755","1970","Graduate","Single","67384","2","2012"
"100486","1950","Graduate","Together","27203","4","2012"
"100259","1978","PhD","Married","37717","3","2012"
"100881","1994","Graduate","Single","95529","1","2012"
"100488","1990","High School","Married","24279","2","2012"
"100489","1985","PhD","Married","64355","3","2012"
"100490","1953","Graduate","Widow","53653","1","2012"
"100135","1976","High School","Divorced","9548","2","2012"
"101101","1979","Graduate","Married","7500","3","2012"
"101972","1964","PhD","Married","60896","3","2012"
"101733","1984","Graduate","Single","52413","2","2012"
"101100","1964","Graduate","Together","68142","3","2012"
"101098","1986","Graduate","Single","26576","2","2012"
"100891","1979","Master","Together","24401","2","2012"
"101096","1956","Graduate","Together","54450","4","2012"
"100494","1959","Graduate","Divorced","61250","2","2012"
"100263","1970","PhD","Married","38097","4","2012"
"101087","1968","PhD","Married","36778","4","2012"
"101084","1976","Graduate","Together","85606","3","2012"
"100897","1951","PhD","Single","64950","2","2012"
"100898","1989","High School","Married","25443","3","2012"
"101077","1966","Graduate","Single","86358","3","2012"
"101906","1960","Graduate","Married","51651","3","2012"
"100075","1977","Graduate","Divorced","40246","2","2012"
"101484","1973","PhD","Single","48432","2","2012"
"100266","1953","Graduate","Single","69267","1","2012"
"101728","1984","PhD","Married","70643","2","2012"
"101724","1959","Master","Widow","33051","1","2012"
"101716","1971","Master","Together","30538","3","2012"
"100139","1992","Master","Single","92859","1","2012"
"100908","1986","High School","Single","14906","1","2012"
"100909","1987","PhD","Married","51563","2","2012"
"101076","1962","Graduate","Divorced","39552","3","2012"
"101482","1988","High School","Together","13724","3","2012"
"101477","1952","Master","Together","40442","4","2012"
"100913","1975","Undergraduate","Divorced","67893","2","2012"
"101075","1954","Graduate","Married","46734","3","2012"
"101072","1979","PhD","Married","31605","3","2012"
"101466","1950","PhD","Married","55517","4","2012"
"100076","1972","Master","Married","75251","2","2012"
"101050","1986","Undergraduate","Single","80910","1","2012"
"100508","1953","Graduate","Married","70503","2","2012"
"100920","1965","Graduate","Married","59754","3","2012"
"100921","1952","Graduate","Single","53700","2","2012"
"101037","1956","Graduate","Married","79456","2","2012"
"100509","1987","Graduate","Married","25545","3","2012"
"100924","1967","Graduate","Divorced","70647","2","2012"
"101036","1971","Graduate","Married","36715","3","2012"
"100926","1969","Master","Together","41021","3","2012"
"100510","1986","Graduate","Married","32880","3","2012"
"101027","1955","Graduate","Together","59925","3","2012"
"100077","1976","Graduate","Single","75825","1","2012"
"101464","1964","Master","Single","63972","2","2012"
"100931","1973","Graduate","Married","33471","3","2012"
"100513","1964","Graduate","Single","61839","1","2012"
"100933","1980","Graduate","Together","44010","3","2012"
"101026","1966","Graduate","Together","70713","3","2012"
"101713","1973","Graduate","Widow","60208","3","2012"
"100936","1988","Undergraduate","Married","15716","3","2012"
"100022","1949","PhD","Married","58607","3","2012"
"100938","1971","Master","Together","80573","2","2012"
"101024","1956","Graduate","Divorced","22304","1","2012"
"100940","1959","Master","Together","82576","2","2012"
"101023","1965","Undergraduate","Divorced","64176","2","2012"
"102023","1985","Master","Together","40101","3","2012"
"101460","1988","Graduate","Married","24645","3","2012"
"101021","1961","Graduate","Married","16860","4","2012"
"100144","1976","Graduate","Married","59809","4","2012"
"101710","1966","PhD","Married","69063","3","2012"
"101709","1985","Graduate","Together","54006","3","2012"
"101456","1962","Master","Together","47175","4","2012"
"101454","1956","Graduate","Married","63943","3","2012"
"100145","1975","Graduate","Married","23957","3","2012"
"101016","1949","Master","Married","62845","4","2012"
"101014","1952","Graduate","Single","72228","1","2012"
"100953","1972","Undergraduate","Married","24884","3","2012"
"100954","1981","Master","Together","42021","3","2012"
"101012","1974","Graduate","Married","42557","3","2012"
"101011","1985","Graduate","Single","70596","1","2012"
"100080","1985","Graduate","Single","29760","2","2012"
"100147","1973","Undergraduate","Married","35688","5","2012"
"100526","1969","Graduate","Widow","43638","2","2012"
"100960","1956","PhD","Widow","78028","2","2012"
"100527","1984","PhD","Single","42710","2","2012"
"101706","1951","Master","Single","58217","4","2012"
"101904","1973","Graduate","Married","27803","3","2012"
"101449","1963","Graduate","Single","30983","1","2012"
"101447","1964","Graduate","Divorced","51983","2","2012"
"100966","1953","Master","Married","65569","3","2012"
"101893","1952","PhD","Married","77610","3","2012"
"100968","1979","Graduate","Together","77568","3","2012"
"101005","1984","Graduate","Together","35196","3","2012"
"101445","1978","Graduate","Married","65819","2","2012"
"100971","1968","Master","Together","34053","3","2012"
"101002","1965","Master","Single","33168","2","2012"
"100999","1991","Graduate","Single","8028","1","2012"
"100998","1954","Graduate","Married","38998","4","2012"
"101441","1971","PhD","Married","71969","3","2012"
"101438","1988","Undergraduate","Single","23331","2","2012"
"101437","1988","Undergraduate","Married","23331","3","2012"
"100992","1980","Graduate","Single","28071","1","2012"
"101434","1975","Undergraduate","Married","57036","3","2012"
"101886","1973","Graduate","Divorced","71128","2","2012"
"100987","1964","Undergraduate","Together","68316","3","2012"
"100982","1978","Graduate","Married","17345","3","2012"
"100286","1980","Graduate","Married","82497","2","2012"
"100540","1952","Graduate","Together","43462","4","2012"
"101702","1978","PhD","Married","72159","2","2012"
"100151","1972","Undergraduate","Together","46344","3","2012"
"100804","1967","Graduate","Married","35441","4","2013"
"100805","1956","Graduate","Married","71391","3","2013"
"100806","1972","Master","Single","49494","2","2013"
"100808","1980","Undergraduate","Single","45889","2","2013"
"100810","1950","Graduate","Together","34026","4","2013"
"100814","1960","Undergraduate","Married","82504","2","2013"
"100818","1963","Graduate","Single","49980","2","2013"
"100819","1980","Graduate","Married","15072","4","2013"
"100820","1974","Graduate","Single","49166","2","2013"
"100824","1979","Graduate","Single","60474","2","2013"
"100826","1985","Graduate","Married","55357","4","2013"
"100828","1989","Undergraduate","Married","85710","2","2013"
"100831","1987","Graduate","Married","7500","2","2013"
"100833","1975","Undergraduate","Single","49514","2","2013"
"100834","1973","PhD","Together","57906","3","2013"
"100835","1966","Master","Single","43456","2","2013"
"100836","1986","Master","Single","19485","3","2013"
"100837","1978","Graduate","Together","53172","3","2013"
"100839","1983","PhD","Together","70123","2","2013"
"100843","1978","Master","Together","61346","3","2013"
"100844","1953","Graduate","Together","80812","2","2013"
"100845","1971","Master","Divorced","42835","3","2013"
"100846","1983","Graduate","Married","39922","3","2013"
"100848","1978","Undergraduate","Together","17117","3","2013"
"100851","1975","Graduate","Divorced","36627","3","2013"
"100853","1970","PhD","Together","82072","2","2013"
"100855","1959","Graduate","Married","42243","4","2013"
"100856","1962","Graduate","Together","51195","4","2013"
"100857","1978","Master","Single","68092","1","2013"
"100858","1973","Graduate","Married","31814","3","2013"
"100863","1956","Graduate","Together","64090","3","2013"
"100865","1974","PhD","Married","37087","3","2013"
"100866","1986","Graduate","Divorced","21846","2","2013"
"100867","1958","Graduate","Married","81320","2","2013"
"100868","1970","Graduate","Divorced","54137","2","2013"
"100869","1967","Graduate","Together","66825","2","2013"
"100870","1973","Graduate","Together","57100","2","2013"
"100871","1969","Graduate","Together","58917","5","2013"
"100873","1961","Graduate","Single","86429","1","2013"
"100874","1971","Graduate","Widow","45684","2","2013"
"100877","1966","PhD","Single","78420","1","2013"
"100878","1992","Graduate","Together","75114","2","2013"
"100879","1963","PhD","Widow","52278","2","2013"
"100880","1972","Master","Married","35641","3","2013"
"100882","1954","Graduate","Married","62820","2","2013"
"100883","1960","Master","Together","73113","2","2013"
"100884","1954","Undergraduate","Single","42607","2","2013"
"100885","1954","PhD","Single","74637","1","2013"
"100887","1993","Graduate","Single","72354","1","2013"
"100888","1969","Master","Single","39858","2","2013"
"100893","1982","Undergraduate","Single","74116","1","2013"
"100894","1976","PhD","Married","68397","3","2013"
"100900","1971","Graduate","Together","71796","2","2013"
"100901","1970","PhD","Married","67536","3","2013"
"100902","1971","Graduate","Single","55239","2","2013"
"100903","1975","PhD","Divorced","60554","2","2013"
"100904","1952","Undergraduate","Single","64831","3","2013"
"100905","1962","PhD","Together","56067","3","2013"
"100906","1983","Graduate","Divorced","82025","1","2013"
"100907","1953","Graduate","Together","94384","2","2013"
"100911","1979","Graduate","Divorced","68274","3","2013"
"100912","1977","Graduate","Together","39771","3","2013"
"100916","1973","Master","Divorced","44051","3","2013"
"100917","1971","PhD","Single","42767","3","2013"
"100919","1976","PhD","Married","16927","4","2013"
"100923","1957","PhD","Divorced","54237","2","2013"
"100927","1975","PhD","Married","40233","3","2013"
"100929","1959","Graduate","Together","54753","3","2013"
"100930","1973","Graduate","Married","92955","2","2013"
"100932","1974","PhD","Married","34596","3","2013"
"100935","1968","PhD","Together","40706","5","2013"
"100937","1959","Undergraduate","Divorced","59052","2","2013"
"100942","1954","Graduate","Together","53103","3","2013"
"100943","1960","Undergraduate","Widow","46779","3","2013"
"100945","1979","Master","Divorced","33462","2","2013"
"100946","1950","Graduate","Married","80763","2","2013"
"100947","1974","PhD","Married","65352","3","2013"
"100948","1978","PhD","Married","82170","2","2013"
"100949","1969","Graduate","Married","75759","2","2013"
"100950","1976","Undergraduate","Single","79689","1","2013"
"100957","1978","Graduate","Together","75437","2","2013"
"100958","1973","Graduate","Married","52845","3","2013"
"100959","1956","Graduate","Divorced","46086","2","2013"
"100961","1987","PhD","Single","95169","1","2013"
"100962","1981","Undergraduate","Married","56337","4","2013"
"100963","1987","Graduate","Together","22434","3","2013"
"100964","1954","PhD","Married","36930","3","2013"
"100965","1954","Graduate","Single","36130","2","2013"
"100967","1963","PhD","Single","36736","3","2013"
"100970","1978","Graduate","Single","30168","2","2013"
"100975","1969","Graduate","Together","54165","2","2013"
"100976","1973","Graduate","Married","32300","3","2013"
"100977","1976","Graduate","Single","20180","1","2013"
"100979","1974","PhD","Together","28440","3","2013"
"100980","1953","PhD","Together","64504","5","2013"
"100983","1967","PhD","Married","56320","3","2013"
"100984","1978","Graduate","Single","28647","2","2013"
"100985","1987","High School","Single","15038","2","2013"
"100986","1958","PhD","Divorced","32173","2","2013"
"101784","1951","Graduate","Widow","70792","1","2013"
"100002","1965","Graduate","Together","71613","2","2013"
"100005","1967","Master","Together","62513","3","2013"
"100007","1985","PhD","Married","33454","3","2013"
"100008","1974","PhD","Together","30351","3","2013"
"100010","1983","Graduate","Married","51381","3","2013"
"100012","1959","Graduate","Divorced","63033","1","2013"
"100013","1952","Master","Divorced","59354","3","2013"
"100018","1949","Master","Married","76995","3","2013"
"100021","1979","Graduate","Married","2447","3","2013"
"100024","1951","Graduate","Together","40689","3","2013"
"100025","1969","Graduate","Single","18589","1","2013"
"100026","1976","Graduate","Married","53359","4","2013"
"100027","1986","Graduate","Single","51381","2","2013"
"100028","1989","Graduate","Married","38360","3","2013"
"100029","1965","PhD","Married","84618","2","2013"
"100031","1963","Master","Together","38620","2","2013"
"100034","1946","Master","Married","68657","2","2013"
"100035","1951","Master","Single","49389","3","2013"
"100036","1970","PhD","Married","67353","3","2013"
"100037","1976","Undergraduate","Married","23718","3","2013"
"100039","1943","PhD","Divorced","48948","1","2013"
"100040","1980","Graduate","Married","80011","3","2013"
"100041","1985","Master","Married","20559","3","2013"
"100043","1959","PhD","Single","51381","1","2013"
"100044","1975","Master","Married","7500","3","2013"
"100047","1968","Graduate","Together","41728","3","2013"
"100052","1977","Graduate","Single","35790","2","2013"
"100054","1978","Graduate","Married","66373","4","2013"
"100056","1966","Graduate","Divorced","70287","1","2013"
"100058","1982","Graduate","Single","51381","2","2013"
"100060","1982","Master","Single","75777","1","2013"
"100062","1952","Graduate","Single","61823","2","2013"
"100063","1951","PhD","Widow","67680","2","2013"
"100064","1948","Graduate","Together","70666","2","2013"
"100065","1971","Graduate","Married","25721","3","2013"
"100068","1958","Graduate","Together","69096","3","2013"
"100069","1970","Graduate","Together","74854","5","2013"
"100072","1959","Graduate","Married","65031","3","2013"
"100073","1975","PhD","Married","60631","4","2013"
