"customer_key","year_birth","education","marital_status","income_group","kidhome","teenhome","dt_customer","age_in_2014","living_situation","is_parent","household_size","generation"
"100051","1964","Master","Married","Middle Income","0","0","2012-11-08 00:00:00","50","Partner","false","2",""
"100054","1978","Graduate","Married","Middle Income","1","1","2013-12-06 00:00:00","36","Partner","true","4","Gen X"
"100059","1968","PhD","Married","Middle Income","0","1","2014-03-03 00:00:00","46","Partner","true","3","Gen X"
"100065","1971","Graduate","Married","Low Income","1","0","2013-05-21 00:00:00","43","Partner","true","3","Gen X"
"100070","1954","Master","Married","Middle Income","0","0","2012-11-09 00:00:00","60","Partner","false","2","Baby Boomer"
"100071","1973","Undergraduate","Married","Middle Income","1","0","2012-09-14 00:00:00","41","Partner","true","3","Gen X"
"100072","1959","Graduate","Married","Middle Income","0","1","2013-03-17 00:00:00","55","Partner","true","3","Baby Boomer"
"100073","1975","PhD","Married","Middle Income","1","1","2013-05-04 00:00:00","39","Partner","true","4","Gen X"
"100074","1952","Graduate","Married","Low Income","0","0","2014-04-30 00:00:00","62","Partner","false","2","Baby Boomer"
"100076","1972","Master","Married","Middle Income","0","0","2012-08-27 00:00:00","42","Partner","false","2","Gen X"
"100081","1969","Graduate","Married","Low Income","1","0","2013-06-23 00:00:00","45","Partner","true","3","Gen X"
"100082","1973","Undergraduate","Married","Low Income","1","0","2013-03-07 00:00:00","41","Partner","true","3","Gen X"
"100084","1960","Graduate","Married","Low Income","1","1","2013-11-08 00:00:00","54","Partner","true","4","Baby Boomer"
"100085","1970","Master","Married","Low Income","1","1","2013-07-16 00:00:00","44","Partner","true","4","Gen X"
"100087","1973","Graduate","Married","Middle Income","0","0","2014-12-05 00:00:00","41","Partner","false","2","Gen X"
"100089","1957","PhD","Married","Middle Income","2","1","2012-11-19 00:00:00","57","Partner","true","5","Baby Boomer"
"100093","1970","PhD","Married","Low Income","1","0","2014-05-24 00:00:00","44","Partner","true","3","Gen X"
"100094","1983","Graduate","Married","Low Income","1","0","2014-05-22 00:00:00","31","Partner","true","3","Millennial"
"100097","1951","Undergraduate","Married","Middle Income","0","0","2013-01-12 00:00:00","63","Partner","false","2","Baby Boomer"
"100098","1983","PhD","Married","Middle Income","0","0","2013-06-20 00:00:00","31","Partner","false","2","Millennial"
"100102","1945","PhD","Married","Middle Income","0","0","2013-05-17 00:00:00","69","Partner","false","2",""
"100103","1959","Graduate","Married","High Income","0","0","2014-08-05 00:00:00","55","Partner","false","2","Baby Boomer"
"100105","1964","Graduate","Married","Middle Income","1","1","2013-09-24 00:00:00","50","Partner","true","4",""
"100106","1969","Graduate","Married","Middle Income","0","2","2013-02-02 00:00:00","45","Partner","true","4","Gen X"
"100108","1960","Master","Married","High Income","0","0","2012-07-12 00:00:00","54","Partner","false","2","Baby Boomer"
"100113","1980","PhD","Married","Middle Income","1","0","2012-12-12 00:00:00","34","Partner","true","3",""
"100115","1970","Graduate","Married","High Income","0","0","2014-01-24 00:00:00","44","Partner","false","2","Gen X"
"100116","1978","Undergraduate","Married","Low Income","1","0","2013-02-19 00:00:00","36","Partner","true","3","Gen X"
"100121","1985","Master","Married","Low Income","2","0","2013-04-09 00:00:00","29","Partner","true","4","Millennial"
"100126","1953","Master","Married","Middle Income","1","1","2014-08-06 00:00:00","61","Partner","true","4","Baby Boomer"
"100127","1961","PhD","Married","Middle Income","0","1","2013-11-07 00:00:00","53","Partner","true","3","Baby Boomer"
"100129","1952","Graduate","Married","Middle Income","0","1","2013-09-30 00:00:00","62","Partner","true","3","Baby Boomer"
"100131","1969","Graduate","Married","Middle Income","0","0","2014-10-02 00:00:00","45","Partner","false","2","Gen X"
"100132","1963","Graduate","Married","Middle Income","0","1","2013-11-08 00:00:00","51","Partner","true","3","Baby Boomer"
"100133","1964","PhD","Married","Middle Income","1","1","2013-08-14 00:00:00","50","Partner","true","4",""
"100136","1959","PhD","Married","Low Income","2","1","2013-07-07 00:00:00","55","Partner","true","5","Baby Boomer"
"100141","1962","Graduate","Married","High Income","0","0","2013-04-19 00:00:00","52","Partner","false","2","Baby Boomer"
"100144","1976","Graduate","Married","Middle Income","0","2","2012-10-18 00:00:00","38","Partner","true","4","Gen X"
"100145","1975","Graduate","Married","Low Income","1","0","2012-10-28 00:00:00","39","Partner","true","3","Gen X"
"100147","1973","Undergraduate","Married","Low Income","2","1","2012-08-22 00:00:00","41","Partner","true","5","Gen X"
"100148","1966","Master","Married","Middle Income","0","0","2014-06-21 00:00:00","48","Partner","false","2","Gen X"
"100149","1953","Master","Married","Middle Income","0","2","2014-04-24 00:00:00","61","Partner","true","4","Baby Boomer"
"100150","1969","Graduate","Married","Middle Income","0","1","2014-07-03 00:00:00","45","Partner","true","3","Gen X"
"100160","1945","PhD","Married","Middle Income","0","0","2012-05-11 00:00:00","69","Partner","false","2",""
"100161","1984","Graduate","Married","Low Income","1","0","2014-05-01 00:00:00","30","Partner","true","3","Millennial"
"100163","1973","PhD","Married","High Income","0","1","2014-01-03 00:00:00","41","Partner","true","3","Gen X"
"100170","1982","Graduate","Married","Low Income","1","0","2013-07-13 00:00:00","32","Partner","true","3","Millennial"
"100171","1970","Graduate","Married","Middle Income","2","0","2014-04-21 00:00:00","44","Partner","true","4","Gen X"
"100174","1975","PhD","Married","High Income","0","1","2012-12-09 00:00:00","39","Partner","true","3","Gen X"
"100175","1948","PhD","Married","High Income","0","0","2012-12-16 00:00:00","66","Partner","false","2","Baby Boomer"
"100176","1970","PhD","Married","Low Income","1","1","2014-05-23 00:00:00","44","Partner","true","4","Gen X"
"100178","1976","PhD","Married","Middle Income","0","1","2014-11-05 00:00:00","38","Partner","true","3","Gen X"
"100179","1988","Undergraduate","Married","Low Income","1","0","2014-10-05 00:00:00","26","Partner","true","3","Millennial"
"100180","1946","Master","Married","Middle Income","0","0","2013-09-28 00:00:00","68","Partner","false","2","Baby Boomer"
"100181","1984","Master","Married","Low Income","1","0","2014-01-22 00:00:00","30","Partner","true","3","Millennial"
"100182","1961","High School","Married","Low Income","0","0","2014-06-15 00:00:00","53","Partner","false","2","Baby Boomer"
"100183","1983","Graduate","Married","Low Income","1","0","2012-05-12 00:00:00","31","Partner","true","3","Millennial"
"100185","1966","Graduate","Married","Middle Income","0","1","2013-02-08 00:00:00","48","Partner","true","3","Gen X"
"100186","1976","Graduate","Married","Middle Income","0","0","2013-03-19 00:00:00","38","Partner","false","2","Gen X"
"100187","1964","PhD","Married","Middle Income","1","1","2013-02-23 00:00:00","50","Partner","true","4",""
"100190","1988","Graduate","Married","Low Income","1","0","2013-05-30 00:00:00","26","Partner","true","3","Millennial"
"100191","1973","Graduate","Married","Middle Income","1","1","2013-02-18 00:00:00","41","Partner","true","4","Gen X"
"100192","1977","Graduate","Married","Low Income","1","1","2013-12-29 00:00:00","37","Partner","true","4","Gen X"
"100193","1980","Master","Married","Middle Income","0","0","2014-05-13 00:00:00","34","Partner","false","2",""
"100194","1954","Graduate","Married","High Income","0","0","2013-09-19 00:00:00","60","Partner","false","2","Baby Boomer"
"100195","1954","Graduate","Married","High Income","0","0","2013-01-17 00:00:00","60","Partner","false","2","Baby Boomer"
"100205","1966","Graduate","Married","Middle Income","0","1","2014-08-06 00:00:00","48","Partner","true","3","Gen X"
"100209","1968","PhD","Married","Middle Income","1","1","2012-05-10 00:00:00","46","Partner","true","4","Gen X"
"100211","1985","Graduate","Married","Middle Income","0","0","2013-04-05 00:00:00","29","Partner","false","2","Millennial"
"100212","1977","Graduate","Married","Middle Income","1","0","2014-01-04 00:00:00","37","Partner","true","3","Gen X"
"100214","1948","Master","Married","High Income","0","0","2013-11-15 00:00:00","66","Partner","false","2","Baby Boomer"
"100218","1969","Graduate","Married","Middle Income","0","0","2013-11-14 00:00:00","45","Partner","false","2","Gen X"
"100220","1980","PhD","Married","Low Income","1","0","2013-05-01 00:00:00","34","Partner","true","3",""
"100225","1972","PhD","Married","Middle Income","0","0","2012-08-08 00:00:00","42","Partner","false","2","Gen X"
"100231","1965","PhD","Married","Middle Income","0","1","2013-03-23 00:00:00","49","Partner","true","3","Gen X"
"100232","1975","Undergraduate","Married","Low Income","1","0","2013-09-12 00:00:00","39","Partner","true","3","Gen X"
"100239","1990","Graduate","Married","Middle Income","0","0","2013-11-28 00:00:00","24","Partner","false","2","Millennial"
"100240","1958","Graduate","Married","Middle Income","0","1","2012-08-17 00:00:00","56","Partner","true","3","Baby Boomer"
"100241","1964","PhD","Married","Low Income","1","1","2014-05-06 00:00:00","50","Partner","true","4",""
"100242","1972","Graduate","Married","High Income","1","0","2013-05-20 00:00:00","42","Partner","true","3","Gen X"
"100243","1953","Graduate","Married","Middle Income","0","1","2013-09-01 00:00:00","61","Partner","true","3","Baby Boomer"
"100244","1988","PhD","Married","Middle Income","0","0","2012-08-31 00:00:00","26","Partner","false","2","Millennial"
"100258","1970","Master","Married","Middle Income","1","0","2014-06-17 00:00:00","44","Partner","true","3","Gen X"
"100259","1978","PhD","Married","Low Income","1","0","2012-11-23 00:00:00","36","Partner","true","3","Gen X"
"100261","1966","Master","Married","Low Income","1","1","2013-03-14 00:00:00","48","Partner","true","4","Gen X"
"100262","1963","Graduate","Married","High Income","0","0","2014-06-26 00:00:00","51","Partner","false","2","Baby Boomer"
"100263","1970","PhD","Married","Low Income","1","1","2012-10-15 00:00:00","44","Partner","true","4","Gen X"
"100264","1970","Graduate","Married","Middle Income","0","0","2013-06-19 00:00:00","44","Partner","false","2","Gen X"
"100269","1960","Graduate","Married","Low Income","1","1","2014-06-04 00:00:00","54","Partner","true","4","Baby Boomer"
"100276","1981","High School","Married","Low Income","1","0","2013-11-02 00:00:00","33","Partner","true","3","Millennial"
"100278","1975","Master","Married","Middle Income","1","1","2014-04-17 00:00:00","39","Partner","true","4","Gen X"
"100279","1974","Graduate","Married","Low Income","1","0","2013-12-07 00:00:00","40","Partner","true","3","Gen X"
"100286","1980","Graduate","Married","High Income","0","0","2012-10-31 00:00:00","34","Partner","false","2",""
"100296","1978","PhD","Married","Middle Income","1","0","2014-01-03 00:00:00","36","Partner","true","3","Gen X"
"100299","1961","Master","Married","High Income","0","0","2013-03-28 00:00:00","53","Partner","false","2","Baby Boomer"
"100302","1964","Master","Married","Middle Income","0","1","2013-10-09 00:00:00","50","Partner","true","3",""
"100305","1967","Graduate","Married","Low Income","2","1","2013-10-28 00:00:00","47","Partner","true","5","Gen X"
"100306","1989","Graduate","Married","Middle Income","0","0","2013-03-06 00:00:00","25","Partner","false","2","Millennial"
"100308","1966","Graduate","Married","Middle Income","1","1","2013-12-17 00:00:00","48","Partner","true","4","Gen X"
"100310","1972","Graduate","Married","Middle Income","1","1","2013-07-29 00:00:00","42","Partner","true","4","Gen X"
"100312","1951","Graduate","Married","Low Income","1","1","2013-07-16 00:00:00","63","Partner","true","4","Baby Boomer"
"100314","1971","Graduate","Married","Middle Income","0","1","2013-01-17 00:00:00","43","Partner","true","3","Gen X"
"100315","1974","Graduate","Married","Low Income","1","0","2013-01-07 00:00:00","40","Partner","true","3","Gen X"
"100319","1957","Graduate","Married","Middle Income","0","0","2013-05-07 00:00:00","57","Partner","false","2","Baby Boomer"
"100321","1984","Graduate","Married","Low Income","1","0","2013-07-11 00:00:00","30","Partner","true","3","Millennial"
"100322","1950","PhD","Married","Middle Income","2","1","2013-09-05 00:00:00","64","Partner","true","5","Baby Boomer"
"100326","1956","PhD","Married","Middle Income","0","1","2013-03-04 00:00:00","58","Partner","true","3","Baby Boomer"
"100327","1971","Master","Married","Low Income","1","0","2013-10-01 00:00:00","43","Partner","true","3","Gen X"
"100331","1972","Graduate","Married","Low Income","1","0","2012-12-11 00:00:00","42","Partner","true","3","Gen X"
"100335","1969","PhD","Married","Middle Income","0","1","2012-11-23 00:00:00","45","Partner","true","3","Gen X"
"100339","1965","Graduate","Married","Middle Income","1","1","2013-06-23 00:00:00","49","Partner","true","4","Gen X"
"100342","1976","Master","Married","Low Income","1","0","2014-03-01 00:00:00","38","Partner","true","3","Gen X"
"100343","1957","Graduate","Married","Middle Income","0","1","2013-12-17 00:00:00","57","Partner","true","3","Baby Boomer"
"100344","1986","Graduate","Married","Middle Income","1","0","2013-10-01 00:00:00","28","Partner","true","3","Millennial"
"100346","1974","Graduate","Married","Middle Income","0","0","2012-10-27 00:00:00","40","Partner","false","2","Gen X"
"100349","1955","Graduate","Married","Middle Income","0","1","2013-11-05 00:00:00","59","Partner","true","3","Baby Boomer"
"100350","1969","PhD","Married","Middle Income","0","0","2012-12-12 00:00:00","45","Partner","false","2","Gen X"
"100351","1943","Master","Married","Middle Income","0","0","2013-08-20 00:00:00","71","Partner","false","2","Silent Generation"
"100353","1957","Graduate","Married","Middle Income","0","0","2012-09-28 00:00:00","57","Partner","false","2","Baby Boomer"
"100355","1978","Graduate","Married","Low Income","2","0","2014-02-24 00:00:00","36","Partner","true","4","Gen X"
"100356","1967","Graduate","Married","Middle Income","1","1","2012-12-28 00:00:00","47","Partner","true","4","Gen X"
"100358","1960","Graduate","Married","Middle Income","0","0","2013-05-17 00:00:00","54","Partner","false","2","Baby Boomer"
"100362","1984","Undergraduate","Married","Low Income","1","0","2014-04-22 00:00:00","30","Partner","true","3","Millennial"
"100363","1975","Graduate","Married","Middle Income","1","1","2012-10-28 00:00:00","39","Partner","true","4","Gen X"
"100372","1969","PhD","Married","Low Income","2","0","2013-08-01 00:00:00","45","Partner","true","4","Gen X"
"100373","1985","Graduate","Married","Low Income","1","0","2013-11-14 00:00:00","29","Partner","true","3","Millennial"
"100384","1946","PhD","Married","Middle Income","0","0","2013-04-18 00:00:00","68","Partner","false","2","Baby Boomer"
"100385","1968","Master","Married","Middle Income","0","1","2014-02-25 00:00:00","46","Partner","true","3","Gen X"
"100387","1971","Graduate","Married","Middle Income","1","1","2012-09-15 00:00:00","43","Partner","true","4","Gen X"
"100396","1965","Graduate","Married","Middle Income","1","1","2014-09-06 00:00:00","49","Partner","true","4","Gen X"
"100399","1963","Graduate","Married","Middle Income","0","2","2012-10-17 00:00:00","51","Partner","true","4","Baby Boomer"
"100401","1976","Graduate","Married","Middle Income","0","1","2012-09-11 00:00:00","38","Partner","true","3","Gen X"
"100402","1955","PhD","Married","Middle Income","0","1","2013-03-30 00:00:00","59","Partner","true","3","Baby Boomer"
"100405","1943","PhD","Married","Middle Income","0","0","2014-03-31 00:00:00","71","Partner","false","2","Silent Generation"
"100409","1971","Master","Married","Middle Income","1","1","2013-05-03 00:00:00","43","Partner","true","4","Gen X"
"100410","1973","PhD","Married","Low Income","1","0","2014-06-05 00:00:00","41","Partner","true","3","Gen X"
"100412","1974","Master","Married","High Income","0","0","2013-04-06 00:00:00","40","Partner","false","2","Gen X"
"100413","1941","PhD","Married","High Income","0","0","2013-04-13 00:00:00","73","Partner","false","2","Silent Generation"
"100414","1953","Graduate","Married","Middle Income","1","2","2013-04-12 00:00:00","61","Partner","true","5","Baby Boomer"
"100415","1986","Graduate","Married","High Income","0","0","2014-04-24 00:00:00","28","Partner","false","2","Millennial"
"100416","1989","Graduate","Married","Middle Income","1","0","2014-05-04 00:00:00","25","Partner","true","3","Millennial"
"100418","1968","Graduate","Married","Middle Income","0","1","2013-04-25 00:00:00","46","Partner","true","3","Gen X"
"100420","1989","Graduate","Married","Middle Income","1","0","2012-10-29 00:00:00","25","Partner","true","3","Millennial"
"100422","1964","Graduate","Married","Middle Income","0","1","2013-11-25 00:00:00","50","Partner","true","3",""
"100427","1971","PhD","Married","Low Income","1","0","2013-08-22 00:00:00","43","Partner","true","3","Gen X"
"100428","1986","Undergraduate","Married","Low Income","1","0","2013-07-02 00:00:00","28","Partner","true","3","Millennial"
"100429","1989","Graduate","Married","Low Income","1","0","2013-04-07 00:00:00","25","Partner","true","3","Millennial"
"100430","1948","PhD","Married","Middle Income","0","1","2013-12-20 00:00:00","66","Partner","true","3","Baby Boomer"
"100431","1946","Graduate","Married","Low Income","0","0","2013-06-08 00:00:00","68","Partner","false","2","Baby Boomer"
"100432","1974","Undergraduate","Married","Low Income","0","0","2014-03-17 00:00:00","40","Partner","false","2","Gen X"
"100436","1976","Graduate","Married","Low Income","1","0","2013-09-06 00:00:00","38","Partner","true","3","Gen X"
"100437","1953","PhD","Married","Middle Income","0","1","2013-12-22 00:00:00","61","Partner","true","3","Baby Boomer"
"100439","1969","Graduate","Married","Middle Income","0","1","2013-02-16 00:00:00","45","Partner","true","3","Gen X"
"100441","1980","Undergraduate","Married","Middle Income","1","1","2013-01-12 00:00:00","34","Partner","true","4",""
"100442","1976","Graduate","Married","Middle Income","0","1","2012-07-09 00:00:00","38","Partner","true","3","Gen X"
"100443","1972","Graduate","Married","Low Income","1","2","2012-08-20 00:00:00","42","Partner","true","5","Gen X"
"100445","1984","Master","Married","Middle Income","1","0","2013-01-04 00:00:00","30","Partner","true","3","Millennial"
"100446","1952","Graduate","Married","Middle Income","0","1","2014-05-25 00:00:00","62","Partner","true","3","Baby Boomer"
"100448","1964","Graduate","Married","Middle Income","0","1","2014-01-01 00:00:00","50","Partner","true","3",""
"100451","1975","Graduate","Married","Low Income","1","0","2014-02-24 00:00:00","39","Partner","true","3","Gen X"
"100455","1951","Graduate","Married","Middle Income","0","2","2014-06-03 00:00:00","63","Partner","true","4","Baby Boomer"
"100457","1975","Graduate","Married","Middle Income","0","1","2013-03-27 00:00:00","39","Partner","true","3","Gen X"
"100458","1980","Graduate","Married","Low Income","1","0","2013-10-10 00:00:00","34","Partner","true","3",""
"100460","1978","Graduate","Married","Low Income","1","1","2013-02-01 00:00:00","36","Partner","true","4","Gen X"
"100462","1956","Graduate","Married","Middle Income","0","1","2013-02-18 00:00:00","58","Partner","true","3","Baby Boomer"
"100464","1977","Master","Married","Middle Income","0","1","2014-05-23 00:00:00","37","Partner","true","3","Gen X"
"100465","1972","PhD","Married","Middle Income","0","1","2012-10-23 00:00:00","42","Partner","true","3","Gen X"
"100466","1977","Graduate","Married","Middle Income","1","0","2012-10-31 00:00:00","37","Partner","true","3","Gen X"
"100467","1973","Master","Married","Low Income","1","0","2013-12-30 00:00:00","41","Partner","true","3","Gen X"
"100470","1975","Graduate","Married","Middle Income","0","1","2013-10-30 00:00:00","39","Partner","true","3","Gen X"
"100473","1974","Graduate","Married","Middle Income","0","1","2013-06-26 00:00:00","40","Partner","true","3","Gen X"
"100474","1969","Graduate","Married","Low Income","1","0","2014-01-26 00:00:00","45","Partner","true","3","Gen X"
"100485","1944","Graduate","Married","Middle Income","0","0","2013-03-04 00:00:00","70","Partner","false","2","Silent Generation"
"100488","1990","High School","Married","Low Income","0","0","2012-12-29 00:00:00","24","Partner","false","2","Millennial"
"100489","1985","PhD","Married","Middle Income","1","0","2012-08-24 00:00:00","29","Partner","true","3","Millennial"
"100491","1976","Graduate","Married","Middle Income","0","1","2013-02-12 00:00:00","38","Partner","true","3","Gen X"
"100493","1992","Graduate","Married","Low Income","0","0","2013-06-21 00:00:00","22","Partner","false","2","Millennial"
"100497","1964","Graduate","Married","Middle Income","0","2","2013-10-20 00:00:00","50","Partner","true","4",""
"100501","1961","Graduate","Married","Low Income","1","1","2013-03-02 00:00:00","53","Partner","true","4","Baby Boomer"
"100504","1944","Master","Married","High Income","0","0","2014-01-03 00:00:00","70","Partner","false","2","Silent Generation"
"100507","1991","Graduate","Married","Middle Income","0","0","2013-08-16 00:00:00","23","Partner","false","2","Millennial"
"100508","1953","Graduate","Married","Middle Income","0","0","2012-09-30 00:00:00","61","Partner","false","2","Baby Boomer"
"100509","1987","Graduate","Married","Low Income","1","0","2012-08-09 00:00:00","27","Partner","true","3","Millennial"
"100510","1986","Graduate","Married","Low Income","1","0","2012-04-12 00:00:00","28","Partner","true","3","Millennial"
"100512","1977","Master","Married","Middle Income","0","0","2014-08-06 00:00:00","37","Partner","false","2","Gen X"
"100514","1960","PhD","Married","Middle Income","1","1","2013-03-11 00:00:00","54","Partner","true","4","Baby Boomer"
"100518","1962","Graduate","Married","Middle Income","1","1","2013-04-24 00:00:00","52","Partner","true","4","Baby Boomer"
"100528","1982","PhD","Married","High Income","0","0","2013-07-08 00:00:00","32","Partner","false","2","Millennial"
"100530","1990","Undergraduate","Married","Low Income","1","0","2014-08-03 00:00:00","24","Partner","true","3","Millennial"
"100532","1980","Graduate","Married","Middle Income","1","0","2013-03-12 00:00:00","34","Partner","true","3",""
"100533","1968","Graduate","Married","Low Income","1","1","2014-01-26 00:00:00","46","Partner","true","4","Gen X"
"100534","1973","Master","Married","Low Income","1","1","2014-03-29 00:00:00","41","Partner","true","4","Gen X"
"100538","1963","Graduate","Married","Low Income","0","0","2013-04-18 00:00:00","51","Partner","false","2","Baby Boomer"
"100539","1949","Master","Married","High Income","0","0","2013-06-11 00:00:00","65","Partner","false","2","Baby Boomer"
"100542","1982","Graduate","Married","Middle Income","0","0","2013-05-04 00:00:00","32","Partner","false","2","Millennial"
"100543","1970","Undergraduate","Married","Low Income","0","0","2013-03-08 00:00:00","44","Partner","false","2","Gen X"
"100545","1978","Graduate","Married","Low Income","1","0","2013-09-09 00:00:00","36","Partner","true","3","Gen X"
"100548","1970","Undergraduate","Married","Middle Income","0","1","2014-01-15 00:00:00","44","Partner","true","3","Gen X"
"100555","1974","Graduate","Married","Middle Income","0","1","2012-12-09 00:00:00","40","Partner","true","3","Gen X"
"100556","1968","PhD","Married","Low Income","1","1","2014-01-27 00:00:00","46","Partner","true","4","Gen X"
"100559","1981","Master","Married","Low Income","1","0","2013-02-10 00:00:00","33","Partner","true","3","Millennial"
"100560","1977","PhD","Married","Middle Income","0","1","2013-01-31 00:00:00","37","Partner","true","3","Gen X"
"100561","1968","Graduate","Married","Middle Income","1","1","2014-01-04 00:00:00","46","Partner","true","4","Gen X"
"100562","1970","Graduate","Married","Low Income","1","1","2013-08-23 00:00:00","44","Partner","true","4","Gen X"
"100565","1974","PhD","Married","Middle Income","1","1","2012-10-11 00:00:00","40","Partner","true","4","Gen X"
"100567","1951","Master","Married","Low Income","0","0","2013-04-15 00:00:00","63","Partner","false","2","Baby Boomer"
"100571","1961","Master","Married","Middle Income","0","1","2013-09-14 00:00:00","53","Partner","true","3","Baby Boomer"
"100575","1975","Master","Married","High Income","0","0","2012-12-12 00:00:00","39","Partner","false","2","Gen X"
"100578","1972","PhD","Married","Middle Income","0","0","2013-11-09 00:00:00","42","Partner","false","2","Gen X"
"100581","1969","Master","Married","Middle Income","1","1","2013-10-19 00:00:00","45","Partner","true","4","Gen X"
"100582","1978","Undergraduate","Married","Low Income","1","0","2013-04-06 00:00:00","36","Partner","true","3","Gen X"
"100587","1948","PhD","Married","Middle Income","0","2","2012-09-12 00:00:00","66","Partner","true","4","Baby Boomer"
"100591","1975","High School","Married","Low Income","0","1","2012-10-26 00:00:00","39","Partner","true","3","Gen X"
"100592","1965","Graduate","Married","High Income","0","0","2014-07-05 00:00:00","49","Partner","false","2","Gen X"
"100595","1973","High School","Married","Low Income","1","0","2012-11-12 00:00:00","41","Partner","true","3","Gen X"
"100597","1974","Graduate","Married","Middle Income","1","1","2013-07-26 00:00:00","40","Partner","true","4","Gen X"
"100601","1960","Master","Married","Low Income","0","1","2012-08-17 00:00:00","54","Partner","true","3","Baby Boomer"
"100602","1961","PhD","Married","Middle Income","0","1","2013-11-07 00:00:00","53","Partner","true","3","Baby Boomer"
"100606","1955","Undergraduate","Married","Middle Income","0","0","2013-03-06 00:00:00","59","Partner","false","2","Baby Boomer"
"100607","1976","Graduate","Married","Low Income","1","0","2013-01-20 00:00:00","38","Partner","true","3","Gen X"
"100612","1970","PhD","Married","Middle Income","1","0","2013-11-19 00:00:00","44","Partner","true","3","Gen X"
"100618","1962","Graduate","Married","Middle Income","0","1","2013-08-01 00:00:00","52","Partner","true","3","Baby Boomer"
"100620","1971","Graduate","Married","Middle Income","0","1","2013-06-11 00:00:00","43","Partner","true","3","Gen X"
"100625","1971","PhD","Married","Middle Income","1","1","2013-08-18 00:00:00","43","Partner","true","4","Gen X"
"100628","1977","Master","Married","Middle Income","0","1","2014-05-23 00:00:00","37","Partner","true","3","Gen X"
"100632","1974","Graduate","Married","Middle Income","0","1","2012-12-08 00:00:00","40","Partner","true","3","Gen X"
"100641","1980","High School","Married","Low Income","0","0","2012-07-09 00:00:00","34","Partner","false","2",""
"100643","1959","Graduate","Married","Low Income","0","0","2012-12-28 00:00:00","55","Partner","false","2","Baby Boomer"
"100646","1968","PhD","Married","Low Income","1","0","2013-09-05 00:00:00","46","Partner","true","3","Gen X"
"100647","1971","Undergraduate","Married","Middle Income","1","1","2013-07-11 00:00:00","43","Partner","true","4","Gen X"
"100648","1964","PhD","Married","Middle Income","0","1","2013-07-29 00:00:00","50","Partner","true","3",""
"100651","1980","Graduate","Married","Middle Income","0","1","2013-12-16 00:00:00","34","Partner","true","3",""
"100652","1974","Graduate","Married","Low Income","2","0","2014-05-22 00:00:00","40","Partner","true","4","Gen X"
"100653","1963","PhD","Married","High Income","0","1","2012-10-30 00:00:00","51","Partner","true","3","Baby Boomer"
"100655","1985","Undergraduate","Married","Low Income","1","0","2013-06-16 00:00:00","29","Partner","true","3","Millennial"
"100664","1982","PhD","Married","High Income","0","0","2012-04-08 00:00:00","32","Partner","false","2","Millennial"
"100672","1961","Master","Married","Middle Income","0","2","2013-07-26 00:00:00","53","Partner","true","4","Baby Boomer"
