"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size","income_group"
"100108","1960","54","Baby Boomer","Master","Married","Partner","89058","0","0","2012-07-12 00:00:00","false","2","High Income"
"100110","1991","23","Millennial","PhD","Single","Alone","68126","0","0","2012-10-11 00:00:00","false","1","Middle Income"
"100111","1963","51","Baby Boomer","Master","Together","Partner","57288","0","1","2014-06-25 00:00:00","true","3","Middle Income"
"100113","1980","34","","PhD","Married","Partner","43974","1","0","2012-12-12 00:00:00","true","3","Middle Income"
"100119","1953","61","Baby Boomer","Master","Together","Partner","56129","0","1","2013-06-20 00:00:00","true","3","Middle Income"
"100120","1967","47","Gen X","Master","Single","Alone","32557","1","0","2014-02-24 00:00:00","true","2","Low Income"
"100121","1985","29","Millennial","Master","Married","Partner","19510","2","0","2013-04-09 00:00:00","true","4","Low Income"
"100126","1953","61","Baby Boomer","Master","Married","Partner","54348","1","1","2014-08-06 00:00:00","true","4","Middle Income"
"100127","1961","53","Baby Boomer","PhD","Married","Partner","51381","0","1","2013-11-07 00:00:00","true","3","Middle Income"
"100128","1956","58","Baby Boomer","PhD","Together","Partner","77376","1","1","2014-10-05 00:00:00","true","4","Middle Income"
"100130","1958","56","Baby Boomer","Master","Alone","Alone","61331","1","1","2013-10-03 00:00:00","true","3","Middle Income"
"100133","1964","50","","PhD","Married","Partner","41551","1","1","2013-08-14 00:00:00","true","4","Middle Income"
"100134","1967","47","Gen X","PhD","Together","Partner","62981","0","0","2013-03-17 00:00:00","false","2","Middle Income"
"100136","1959","55","Baby Boomer","PhD","Married","Partner","33762","2","1","2013-07-07 00:00:00","true","5","Low Income"
"100137","1973","41","Gen X","PhD","Alone","Alone","35860","1","1","2014-05-19 00:00:00","true","3","Low Income"
"100138","1965","49","Gen X","PhD","Divorced","Alone","36921","1","1","2013-07-28 00:00:00","true","3","Low Income"
"100139","1992","22","Millennial","Master","Single","Alone","92859","0","0","2012-10-19 00:00:00","false","1","High Income"
"100140","1976","38","Gen X","Master","Together","Partner","65104","0","1","2013-11-14 00:00:00","true","3","Middle Income"
"100142","1974","40","Gen X","PhD","Single","Alone","68352","0","1","2013-08-28 00:00:00","true","2","Middle Income"
"100148","1966","48","Gen X","Master","Married","Partner","49605","0","0","2014-06-21 00:00:00","false","2","Middle Income"
"100149","1953","61","Baby Boomer","Master","Married","Partner","59354","0","2","2014-04-24 00:00:00","true","4","Middle Income"
"100153","1952","62","Baby Boomer","PhD","Together","Partner","61010","0","1","2012-09-10 00:00:00","true","3","Middle Income"
"100159","1958","56","Baby Boomer","Master","Single","Alone","30523","2","1","2013-01-07 00:00:00","true","4","Low Income"
"100160","1945","69","","PhD","Married","Partner","70356","0","0","2012-05-11 00:00:00","false","2","Middle Income"
"100162","1975","39","Gen X","PhD","Divorced","Alone","74165","0","0","2013-01-05 00:00:00","false","1","Middle Income"
"100163","1973","41","Gen X","PhD","Married","Partner","157243","0","1","2014-01-03 00:00:00","true","3","High Income"
"100172","1959","55","Baby Boomer","PhD","Together","Partner","53537","1","1","2014-01-30 00:00:00","true","4","Middle Income"
"100174","1975","39","Gen X","PhD","Married","Partner","80427","0","1","2012-12-09 00:00:00","true","3","High Income"
"100175","1948","66","Baby Boomer","PhD","Married","Partner","83837","0","0","2012-12-16 00:00:00","false","2","High Income"
"100176","1970","44","Gen X","PhD","Married","Partner","38853","1","1","2014-05-23 00:00:00","true","4","Low Income"
"100178","1976","38","Gen X","PhD","Married","Partner","51650","0","1","2014-11-05 00:00:00","true","3","Middle Income"
"100180","1946","68","Baby Boomer","Master","Married","Partner","66835","0","0","2013-09-28 00:00:00","false","2","Middle Income"
"100181","1984","30","Millennial","Master","Married","Partner","30477","1","0","2014-01-22 00:00:00","true","3","Low Income"
"100184","1970","44","Gen X","PhD","Single","Alone","32303","0","1","2014-08-03 00:00:00","true","2","Low Income"
"100187","1964","50","","PhD","Married","Partner","45759","1","1","2013-02-23 00:00:00","true","4","Middle Income"
"100189","1989","25","Millennial","PhD","Together","Partner","66973","0","0","2013-05-17 00:00:00","false","2","Middle Income"
"100193","1980","34","","Master","Married","Partner","69661","0","0","2014-05-13 00:00:00","false","2","Middle Income"
"100196","1973","41","Gen X","PhD","Single","Alone","46854","1","1","2014-03-31 00:00:00","true","3","Middle Income"
"100200","1977","37","Gen X","PhD","Together","Partner","102160","0","0","2012-02-11 00:00:00","false","2","High Income"
"100201","1965","49","Gen X","PhD","Single","Alone","40637","1","1","2013-07-17 00:00:00","true","3","Middle Income"
"100202","1984","30","Millennial","Master","Single","Alone","18890","0","0","2012-10-11 00:00:00","false","1","Low Income"
"100204","1963","51","Baby Boomer","Master","Divorced","Alone","48721","1","1","2013-05-13 00:00:00","true","3","Middle Income"
"100209","1968","46","Gen X","PhD","Married","Partner","44377","1","1","2012-05-10 00:00:00","true","4","Middle Income"
"100210","1974","40","Gen X","Master","Together","Partner","46014","1","1","2013-01-21 00:00:00","true","4","Middle Income"
"100214","1948","66","Baby Boomer","Master","Married","Partner","83790","0","0","2013-11-15 00:00:00","false","2","High Income"
"100215","1954","60","Baby Boomer","Master","Widow","Alone","44551","0","1","2013-08-31 00:00:00","true","2","Middle Income"
"100219","1970","44","Gen X","PhD","Together","Partner","77622","0","2","2014-04-14 00:00:00","true","4","Middle Income"
"100220","1980","34","","PhD","Married","Partner","30732","1","0","2013-05-01 00:00:00","true","3","Low Income"
"100225","1972","42","Gen X","PhD","Married","Partner","79930","0","0","2012-08-08 00:00:00","false","2","Middle Income"
"100226","1986","28","Millennial","PhD","Together","Partner","34320","1","0","2014-02-16 00:00:00","true","3","Low Income"
"100231","1965","49","Gen X","PhD","Married","Partner","62745","0","1","2013-03-23 00:00:00","true","3","Middle Income"
"100233","1982","32","Millennial","Master","Together","Partner","23661","1","0","2013-04-12 00:00:00","true","3","Low Income"
"100234","1958","56","Baby Boomer","PhD","Single","Alone","79761","0","1","2013-04-10 00:00:00","true","2","Middle Income"
"100241","1964","50","","PhD","Married","Partner","31686","1","1","2014-05-06 00:00:00","true","4","Low Income"
"100244","1988","26","Millennial","PhD","Married","Partner","67546","0","0","2012-08-31 00:00:00","false","2","Middle Income"
"100245","1969","45","Gen X","Master","Together","Partner","65176","0","1","2012-10-29 00:00:00","true","3","Middle Income"
"100246","1975","39","Gen X","Master","Single","Alone","31160","1","0","2013-09-16 00:00:00","true","2","Low Income"
"100251","1974","40","Gen X","PhD","Single","Alone","30899","1","0","2012-10-13 00:00:00","true","2","Low Income"
"100252","1961","53","Baby Boomer","PhD","Together","Partner","63342","0","1","2012-10-16 00:00:00","true","3","Middle Income"
"100255","1957","57","Baby Boomer","PhD","Single","Alone","40737","2","1","2013-08-12 00:00:00","true","4","Middle Income"
"100257","1968","46","Gen X","PhD","Divorced","Alone","69674","0","2","2013-05-22 00:00:00","true","3","Middle Income"
"100258","1970","44","Gen X","Master","Married","Partner","44159","1","0","2014-06-17 00:00:00","true","3","Middle Income"
"100259","1978","36","Gen X","PhD","Married","Partner","37717","1","0","2012-11-23 00:00:00","true","3","Low Income"
"100260","1952","62","Baby Boomer","Master","Together","Partner","43776","1","1","2013-03-02 00:00:00","true","4","Middle Income"
"100261","1966","48","Gen X","Master","Married","Partner","38179","1","1","2013-03-14 00:00:00","true","4","Low Income"
"100263","1970","44","Gen X","PhD","Married","Partner","38097","1","1","2012-10-15 00:00:00","true","4","Low Income"
"100267","1983","31","Millennial","Master","Single","Alone","31788","1","0","2014-03-20 00:00:00","true","2","Low Income"
"100268","1975","39","Gen X","PhD","Together","Partner","61905","0","1","2014-04-02 00:00:00","true","3","Middle Income"
"100271","1963","51","Baby Boomer","PhD","Together","Partner","66313","0","1","2013-09-16 00:00:00","true","3","Middle Income"
"100273","1981","33","Millennial","Master","Together","Partner","77882","0","0","2014-04-30 00:00:00","false","2","Middle Income"
"100274","1986","28","Millennial","PhD","Single","Alone","69867","0","0","2013-02-04 00:00:00","false","1","Middle Income"
"100275","1968","46","Gen X","Master","Divorced","Alone","63841","0","1","2013-04-21 00:00:00","true","2","Middle Income"
"100277","1974","40","Gen X","PhD","Together","Partner","65640","0","1","2014-01-03 00:00:00","true","3","Middle Income"
"100278","1975","39","Gen X","Master","Married","Partner","44319","1","1","2014-04-17 00:00:00","true","4","Middle Income"
"100281","1956","58","Baby Boomer","Master","Together","Partner","50898","1","1","2013-08-01 00:00:00","true","4","Middle Income"
"100283","1949","65","Baby Boomer","Master","Divorced","Alone","35416","0","0","2013-06-13 00:00:00","false","1","Low Income"
"100289","1952","62","Baby Boomer","Master","Together","Partner","55951","0","1","2012-08-23 00:00:00","true","3","Middle Income"
"100291","1986","28","Millennial","Master","Together","Partner","42386","1","0","2013-01-13 00:00:00","true","3","Middle Income"
"100293","1965","49","Gen X","PhD","Divorced","Alone","57912","0","1","2014-03-17 00:00:00","true","2","Middle Income"
"100296","1978","36","Gen X","PhD","Married","Partner","46377","1","0","2014-01-03 00:00:00","true","3","Middle Income"
"100299","1961","53","Baby Boomer","Master","Married","Partner","80950","0","0","2013-03-28 00:00:00","false","2","High Income"
"100302","1964","50","","Master","Married","Partner","64100","0","1","2013-10-09 00:00:00","true","3","Middle Income"
"100303","1992","22","Millennial","Master","Together","Partner","42670","0","0","2013-04-27 00:00:00","false","2","Middle Income"
"100307","1976","38","Gen X","Master","Single","Alone","70893","0","0","2013-06-02 00:00:00","false","1","Middle Income"
"100309","1956","58","Baby Boomer","Master","Together","Partner","28839","1","1","2014-11-03 00:00:00","true","4","Low Income"
"100316","1965","49","Gen X","PhD","Divorced","Alone","47025","1","1","2014-09-02 00:00:00","true","3","Middle Income"
"100317","1961","53","Baby Boomer","PhD","Divorced","Alone","64325","0","1","2013-07-02 00:00:00","true","2","Middle Income"
"100320","1976","38","Gen X","PhD","Divorced","Alone","14849","1","0","2013-02-07 00:00:00","true","2","Low Income"
"100322","1950","64","Baby Boomer","PhD","Married","Partner","54432","2","1","2013-09-05 00:00:00","true","5","Middle Income"
"100323","1986","28","Millennial","PhD","Single","Alone","29999","1","0","2013-02-13 00:00:00","true","2","Low Income"
"100325","1989","25","Millennial","PhD","Single","Alone","33996","0","0","2013-11-09 00:00:00","false","1","Low Income"
"100326","1956","58","Baby Boomer","PhD","Married","Partner","66334","0","1","2013-03-04 00:00:00","true","3","Middle Income"
"100327","1971","43","Gen X","Master","Married","Partner","35178","1","0","2013-10-01 00:00:00","true","3","Low Income"
"100335","1969","45","Gen X","PhD","Married","Partner","55212","0","1","2012-11-23 00:00:00","true","3","Middle Income"
"100336","1950","64","Baby Boomer","PhD","Together","Partner","59292","0","1","2013-06-13 00:00:00","true","3","Middle Income"
"100342","1976","38","Gen X","Master","Married","Partner","33181","1","0","2014-03-01 00:00:00","true","3","Low Income"
"100345","1966","48","Gen X","PhD","Single","Alone","69759","0","0","2013-10-28 00:00:00","false","1","Middle Income"
"100347","1976","38","Gen X","PhD","Single","Alone","60000","0","1","2012-12-22 00:00:00","true","2","Middle Income"
"100350","1969","45","Gen X","PhD","Married","Partner","68462","0","0","2012-12-12 00:00:00","false","2","Middle Income"
"100351","1943","71","Silent Generation","Master","Married","Partner","65073","0","0","2013-08-20 00:00:00","false","2","Middle Income"
"100352","1948","66","Baby Boomer","PhD","Together","Partner","46681","0","2","2013-08-10 00:00:00","true","4","Middle Income"
"100354","1969","45","Gen X","PhD","Widow","Alone","62187","0","1","2014-03-22 00:00:00","true","2","Middle Income"
"100361","1975","39","Gen X","PhD","Single","Alone","52614","0","1","2012-01-12 00:00:00","true","2","Middle Income"
"100364","1970","44","Gen X","Master","Single","Alone","29548","1","0","2013-08-29 00:00:00","true","2","Low Income"
"100366","1972","42","Gen X","PhD","Single","Alone","38578","1","1","2013-06-22 00:00:00","true","3","Low Income"
"100367","1975","39","Gen X","Master","Single","Alone","46098","1","1","2012-08-18 00:00:00","true","3","Middle Income"
"100370","1961","53","Baby Boomer","PhD","Together","Partner","66426","0","1","2013-02-10 00:00:00","true","3","Middle Income"
"100372","1969","45","Gen X","PhD","Married","Partner","33581","2","0","2013-08-01 00:00:00","true","4","Low Income"
"100375","1981","33","Millennial","Master","Single","Alone","36143","1","0","2014-03-30 00:00:00","true","2","Low Income"
"100377","1968","46","Gen X","Master","Together","Partner","43795","0","1","2013-10-16 00:00:00","true","3","Middle Income"
"100380","1968","46","Gen X","PhD","Divorced","Alone","83664","1","1","2013-08-05 00:00:00","true","3","High Income"
"100382","1979","35","Gen X","Master","Together","Partner","62499","1","0","2013-09-12 00:00:00","true","3","Middle Income"
"100384","1946","68","Baby Boomer","PhD","Married","Partner","51012","0","0","2013-04-18 00:00:00","false","2","Middle Income"
"100385","1968","46","Gen X","Master","Married","Partner","70777","0","1","2014-02-25 00:00:00","true","3","Middle Income"
"100386","1991","23","Millennial","PhD","Together","Partner","68682","0","0","2013-06-10 00:00:00","false","2","Middle Income"
"100395","1955","59","Baby Boomer","PhD","Single","Alone","55521","1","2","2013-10-22 00:00:00","true","4","Middle Income"
"100397","1972","42","Gen X","PhD","Single","Alone","27213","1","0","2012-08-30 00:00:00","true","2","Low Income"
"100398","1971","43","Gen X","PhD","Divorced","Alone","65808","1","1","2014-05-30 00:00:00","true","3","Middle Income"
"100402","1955","59","Baby Boomer","PhD","Married","Partner","66465","0","1","2013-03-30 00:00:00","true","3","Middle Income"
"100405","1943","71","Silent Generation","PhD","Married","Partner","75865","0","0","2014-03-31 00:00:00","false","2","Middle Income"
"100409","1971","43","Gen X","Master","Married","Partner","49505","1","1","2013-05-03 00:00:00","true","4","Middle Income"
"100410","1973","41","Gen X","PhD","Married","Partner","37401","1","0","2014-06-05 00:00:00","true","3","Low Income"
"100411","1982","32","Millennial","Master","Together","Partner","18492","1","0","2014-05-06 00:00:00","true","3","Low Income"
"100412","1974","40","Gen X","Master","Married","Partner","82584","0","0","2013-04-06 00:00:00","false","2","High Income"
"100413","1941","73","Silent Generation","PhD","Married","Partner","93027","0","0","2013-04-13 00:00:00","false","2","High Income"
"100419","1961","53","Baby Boomer","PhD","Single","Alone","84865","0","0","2013-09-05 00:00:00","false","1","High Income"
"100424","1956","58","Baby Boomer","Master","Together","Partner","50943","0","1","2013-06-21 00:00:00","true","3","Middle Income"
"100426","1949","65","Baby Boomer","Master","Widow","Alone","51529","0","1","2013-07-09 00:00:00","true","2","Middle Income"
"100427","1971","43","Gen X","PhD","Married","Partner","32011","1","0","2013-08-22 00:00:00","true","3","Low Income"
"100430","1948","66","Baby Boomer","PhD","Married","Partner","56223","0","1","2013-12-20 00:00:00","true","3","Middle Income"
"100434","1972","42","Gen X","Master","Divorced","Alone","42618","1","0","2013-09-10 00:00:00","true","2","Middle Income"
"100437","1953","61","Baby Boomer","PhD","Married","Partner","55707","0","1","2013-12-22 00:00:00","true","3","Middle Income"
"100440","1971","43","Gen X","Master","Single","Alone","36230","1","0","2013-10-17 00:00:00","true","2","Low Income"
"100445","1984","30","Millennial","Master","Married","Partner","42207","1","0","2013-01-04 00:00:00","true","3","Middle Income"
"100450","1958","56","Baby Boomer","PhD","Widow","Alone","50520","0","1","2014-01-28 00:00:00","true","2","Middle Income"
"100452","1969","45","Gen X","PhD","Single","Alone","66582","0","0","2014-03-03 00:00:00","false","1","Middle Income"
"100453","1955","59","Baby Boomer","PhD","Together","Partner","75261","0","0","2013-04-23 00:00:00","false","2","Middle Income"
"100456","1971","43","Gen X","PhD","Together","Partner","49269","1","0","2012-08-15 00:00:00","true","3","Middle Income"
"100459","1981","33","Millennial","PhD","Together","Partner","56937","1","0","2012-04-08 00:00:00","true","3","Middle Income"
"100463","1972","42","Gen X","PhD","Single","Alone","41644","1","1","2014-09-05 00:00:00","true","3","Middle Income"
"100464","1977","37","Gen X","Master","Married","Partner","55842","0","1","2014-05-23 00:00:00","true","3","Middle Income"
"100465","1972","42","Gen X","PhD","Married","Partner","62010","0","1","2012-10-23 00:00:00","true","3","Middle Income"
"100467","1973","41","Gen X","Master","Married","Partner","38961","1","0","2013-12-30 00:00:00","true","3","Low Income"
"100468","1972","42","Gen X","Master","Divorced","Alone","37760","1","0","2013-11-08 00:00:00","true","2","Low Income"
"100471","1960","54","Baby Boomer","Master","Together","Partner","83151","0","0","2012-10-10 00:00:00","false","2","High Income"
"100472","1964","50","","PhD","Divorced","Alone","78825","0","0","2012-09-14 00:00:00","false","1","Middle Income"
"100476","1958","56","Baby Boomer","PhD","Together","Partner","78952","0","1","2012-09-24 00:00:00","true","3","Middle Income"
"100479","1964","50","","Master","Single","Alone","58308","0","1","2013-12-01 00:00:00","true","2","Middle Income"
"100480","1944","70","Silent Generation","PhD","Divorced","Alone","55614","0","0","2013-11-27 00:00:00","false","1","Middle Income"
"100481","1962","52","Baby Boomer","Master","Divorced","Alone","59432","0","1","2013-04-13 00:00:00","true","2","Middle Income"
"100483","1971","43","Gen X","PhD","Together","Partner","78642","0","1","2013-04-21 00:00:00","true","3","Middle Income"
"100484","1949","65","Baby Boomer","PhD","Together","Partner","67911","0","1","2014-05-22 00:00:00","true","3","Middle Income"
"100487","1961","53","Baby Boomer","Master","Together","Partner","48330","0","1","2013-11-15 00:00:00","true","3","Middle Income"
"100489","1985","29","Millennial","PhD","Married","Partner","64355","1","0","2012-08-24 00:00:00","true","3","Middle Income"
"100495","1981","33","Millennial","PhD","Together","Partner","39665","1","0","2013-05-25 00:00:00","true","3","Low Income"
"100498","1959","55","Baby Boomer","Master","Together","Partner","89120","0","0","2014-03-17 00:00:00","false","2","High Income"
"100499","1946","68","Baby Boomer","PhD","Together","Partner","44124","0","1","2013-11-05 00:00:00","true","3","Middle Income"
"100500","1975","39","Gen X","Master","Single","Alone","81169","0","0","2013-04-14 00:00:00","false","1","High Income"
"100504","1944","70","Silent Generation","Master","Married","Partner","80184","0","0","2014-01-03 00:00:00","false","2","High Income"
"100506","1987","27","Millennial","Master","Single","Alone","73454","0","0","2014-01-03 00:00:00","false","1","Middle Income"
"100511","1958","56","Baby Boomer","PhD","Together","Partner","77863","0","0","2013-11-27 00:00:00","false","2","Middle Income"
"100512","1977","37","Gen X","Master","Married","Partner","50353","0","0","2014-08-06 00:00:00","false","2","Middle Income"
"100514","1960","54","Baby Boomer","PhD","Married","Partner","49154","1","1","2013-03-11 00:00:00","true","4","Middle Income"
"100517","1977","37","Gen X","Master","Together","Partner","57954","1","1","2014-06-18 00:00:00","true","4","Middle Income"
"100520","1951","63","Baby Boomer","Master","Together","Partner","47352","0","1","2013-11-04 00:00:00","true","3","Middle Income"
"100524","1981","33","Millennial","Master","Single","Alone","22944","1","0","2013-12-23 00:00:00","true","2","Low Income"
"100527","1984","30","Millennial","PhD","Single","Alone","42710","1","0","2012-11-28 00:00:00","true","2","Middle Income"
"100528","1982","32","Millennial","PhD","Married","Partner","84169","0","0","2013-07-08 00:00:00","false","2","High Income"
"100534","1973","41","Gen X","Master","Married","Partner","27159","1","1","2014-03-29 00:00:00","true","4","Low Income"
"100537","1971","43","Gen X","PhD","Single","Alone","60504","0","1","2014-07-02 00:00:00","true","2","Middle Income"
"100539","1949","65","Baby Boomer","Master","Married","Partner","81698","0","0","2013-06-11 00:00:00","false","2","High Income"
"100541","1978","36","Gen X","PhD","Single","Alone","54880","1","0","2013-01-03 00:00:00","true","2","Middle Income"
"100547","1971","43","Gen X","Master","Together","Partner","71499","0","1","2013-06-25 00:00:00","true","3","Middle Income"
"100549","1963","51","Baby Boomer","PhD","Divorced","Alone","48799","0","1","2013-05-11 00:00:00","true","2","Middle Income"
"100550","1950","64","Baby Boomer","PhD","Together","Partner","52157","0","1","2014-07-06 00:00:00","true","3","Middle Income"
"100552","1951","63","Baby Boomer","Master","Together","Partner","29298","1","1","2013-07-09 00:00:00","true","4","Low Income"
"100556","1968","46","Gen X","PhD","Married","Partner","38443","1","1","2014-01-27 00:00:00","true","4","Low Income"
"100558","1970","44","Gen X","PhD","Together","Partner","64413","0","1","2013-01-08 00:00:00","true","3","Middle Income"
"100559","1981","33","Millennial","Master","Married","Partner","36959","1","0","2013-02-10 00:00:00","true","3","Low Income"
"100560","1977","37","Gen X","PhD","Married","Partner","61996","0","1","2013-01-31 00:00:00","true","3","Middle Income"
"100563","1966","48","Gen X","PhD","Together","Partner","47472","1","1","2013-09-16 00:00:00","true","4","Middle Income"
"100564","1956","58","Baby Boomer","Master","Together","Partner","54603","1","1","2013-09-07 00:00:00","true","4","Middle Income"
"100565","1974","40","Gen X","PhD","Married","Partner","45207","1","1","2012-10-11 00:00:00","true","4","Middle Income"
"100567","1951","63","Baby Boomer","Master","Married","Partner","27450","0","0","2013-04-15 00:00:00","false","2","Low Income"
"100571","1961","53","Baby Boomer","Master","Married","Partner","61794","0","1","2013-09-14 00:00:00","true","3","Middle Income"
"100574","1984","30","Millennial","PhD","Single","Alone","39684","1","0","2012-12-10 00:00:00","true","2","Low Income"
"100575","1975","39","Gen X","Master","Married","Partner","92163","0","0","2012-12-12 00:00:00","false","2","High Income"
"100576","1965","49","Gen X","Master","Single","Alone","69882","0","0","2013-10-11 00:00:00","false","1","Middle Income"
"100578","1972","42","Gen X","PhD","Married","Partner","59973","0","0","2013-11-09 00:00:00","false","2","Middle Income"
"100579","1975","39","Gen X","Master","Together","Partner","17459","1","0","2013-09-19 00:00:00","true","3","Low Income"
"100581","1969","45","Gen X","Master","Married","Partner","42169","1","1","2013-10-19 00:00:00","true","4","Middle Income"
"100587","1948","66","Baby Boomer","PhD","Married","Partner","61467","0","2","2012-09-12 00:00:00","true","4","Middle Income"
"100588","1966","48","Gen X","Master","Together","Partner","49618","1","1","2013-01-26 00:00:00","true","4","Middle Income"
"100589","1986","28","Millennial","Master","Single","Alone","21888","1","0","2012-12-29 00:00:00","true","2","Low Income"
"100593","1969","45","Gen X","Master","Single","Alone","26877","0","0","2013-08-19 00:00:00","false","1","Low Income"
"100594","1944","70","Silent Generation","Master","Widow","Alone","45006","0","0","2013-07-18 00:00:00","false","1","Middle Income"
"100596","1969","45","Gen X","PhD","Single","Alone","48240","0","0","2012-09-11 00:00:00","false","1","Middle Income"
"100598","1965","49","Gen X","Master","Single","Alone","35791","2","1","2013-06-05 00:00:00","true","4","Low Income"
"100599","1976","38","Gen X","PhD","Together","Partner","162397","1","1","2013-03-06 00:00:00","true","4","High Income"
"100601","1960","54","Baby Boomer","Master","Married","Partner","30522","0","1","2012-08-17 00:00:00","true","3","Low Income"
"100602","1961","53","Baby Boomer","PhD","Married","Partner","54456","0","1","2013-11-07 00:00:00","true","3","Middle Income"
"100610","1977","37","Gen X","PhD","Divorced","Alone","34487","1","1","2012-06-09 00:00:00","true","3","Low Income"
"100612","1970","44","Gen X","PhD","Married","Partner","69084","1","0","2013-11-19 00:00:00","true","3","Middle Income"
"100613","1958","56","Baby Boomer","PhD","Together","Partner","65488","0","0","2014-06-13 00:00:00","false","2","Middle Income"
"100619","1950","64","Baby Boomer","Master","Divorced","Alone","63120","0","1","2012-09-28 00:00:00","true","2","Middle Income"
"100621","1948","66","Baby Boomer","PhD","Together","Partner","76140","0","0","2014-05-13 00:00:00","false","2","Middle Income"
"100622","1959","55","Baby Boomer","PhD","Divorced","Alone","62859","0","1","2012-12-30 00:00:00","true","2","Middle Income"
"100624","1947","67","Baby Boomer","Master","Together","Partner","77632","0","0","2013-10-03 00:00:00","false","2","Middle Income"
